"","PSID","Gene","Module"
"LRRC71","LRRC71","LRRC71","MsAge7K_14"
"MX1","MX1","MX1","MsAge7K_04"
"GALNT15","GALNT15","GALNT15","MsAge7K_00"
"MYH11","MYH11","MYH11","MsAge7K_07"
"CARD17","CARD17","CARD17","MsAge7K_00"
"CARD16","CARD16","CARD16","MsAge7K_00"
"CASP1","CASP1","CASP1","MsAge7K_00"
"VWC2L","VWC2L","VWC2L","MsAge7K_02"
"COL8A1","COL8A1","COL8A1","MsAge7K_00"
"ADAMTS14","ADAMTS14","ADAMTS14","MsAge7K_15"
"ACER2","ACER2","ACER2","MsAge7K_00"
"PRDM6","PRDM6","PRDM6","MsAge7K_07"
"SLC14A2","SLC14A2","SLC14A2","MsAge7K_14"
"GAPDH","GAPDH","GAPDH","MsAge7K_00"
"GADL1","GADL1","GADL1","MsAge7K_00"
"ZNF474","ZNF474","ZNF474","MsAge7K_00"
"OVOL2","OVOL2","OVOL2","MsAge7K_02"
"FAM110D","FAM110D","FAM110D","MsAge7K_00"
"DRAXIN","DRAXIN","DRAXIN","MsAge7K_01"
"COL2A1","COL2A1","COL2A1","MsAge7K_00"
"GSN","GSN","GSN","MsAge7K_01"
"KCNJ2","KCNJ2","KCNJ2","MsAge7K_00"
"RPL23A","RPL23A","RPL23A","MsAge7K_00"
"DCT","DCT","DCT","MsAge7K_00"
"ISG15","ISG15","ISG15","MsAge7K_04"
"LDOC1","LDOC1","LDOC1","MsAge7K_05"
"RTP4","RTP4","RTP4","MsAge7K_04"
"ACTA2","ACTA2","ACTA2","MsAge7K_07"
"CPA6","CPA6","CPA6","MsAge7K_00"
"PDE6G","PDE6G","PDE6G","MsAge7K_00"
"LIPM","LIPM","LIPM","MsAge7K_00"
"LRMDA","LRMDA","LRMDA","MsAge7K_00"
"BLOC1S1","BLOC1S1","BLOC1S1","MsAge7K_00"
"MT-ATP8","MT-ATP8","MT-ATP8","MsAge7K_00"
"FOXP2","FOXP2","FOXP2","MsAge7K_00"
"KCNG3","KCNG3","KCNG3","MsAge7K_03"
"APOD","APOD","APOD","MsAge7K_04"
"PBK","PBK","PBK","MsAge7K_01"
"TNC","TNC","TNC","MsAge7K_00"
"MT1M","MT1M","MT1M","MsAge7K_00"
"MT1X","MT1X","MT1X","MsAge7K_00"
"COL1A1","COL1A1","COL1A1","MsAge7K_00"
"SGCZ","SGCZ","SGCZ","MsAge7K_02"
"EBF2","EBF2","EBF2","MsAge7K_06"
"C11orf97","C11orf97","C11orf97","MsAge7K_14"
"SEMA3A","SEMA3A","SEMA3A","MsAge7K_02"
"CA13","CA13","CA13","MsAge7K_07"
"PEG10","PEG10","PEG10","MsAge7K_06"
"ADAMTSL3","ADAMTSL3","ADAMTSL3","MsAge7K_07"
"NPFFR1","NPFFR1","NPFFR1","MsAge7K_06"
"DNAH12","DNAH12","DNAH12","MsAge7K_14"
