"","CorrDisease","PvalDisease"
"IFITM1",0.428296998522669,8.35910091400439e-30
"CPXM2",0.145995761856174,0.000217855201580525
"NTRK2",-0.114317049163333,0.00386418376938199
"TYROBP",0.396554332355852,2.02760137397346e-25
"OTOS",0.285270134186072,2.15542573091109e-13
"EBI3",0.405754816762216,1.21371662958404e-26
"GPR26",-0.14231109156041,0.000314481917694996
"TSPAN10",0.110160902571357,0.00538007152546667
"COL1A1",0.186581964694766,2.12072511779851e-06
"TWIST1",0.268311053098495,5.7703972959114e-12
"SLAMF8",0.137883472163245,0.000483257858870558
"NPY",-0.232997049181213,2.66304051329335e-09
"DUSP1",0.279924313119926,6.22637352535819e-13
"FAM46A",0.26616764927784,8.60328541999623e-12
"DTNA",0.146604761846604,0.000204858020989881
"RAPGEF5",0.143149239738143,0.000289509713718073
"TMTC1",0.237216957319882,1.34387489165346e-09
"HMOX1",0.221384069112923,1.63538133211469e-08
"A4GALT",0.386657512121971,3.8036651769049e-24
"SPRY4",-0.32310998817712,6.04755064791567e-17
"ANXA3",0.387462199954852,3.00806701021514e-24
"ANXA2",0.362010227892637,3.69721297402526e-21
"PLA2G5",-0.411217586828046,2.18660077561953e-27
"KCNC3",-0.144998931575466,0.000240808703669428
"BCL3",0.394665805616477,3.57506965095014e-25
"APOC1",0.135928251996709,0.000581899567613709
"KRT19",0.284519496965669,2.50508117435345e-13
"HLA-DQB1",0.129917555711581,0.00101451907204863
"GAPDH",-0.351721226657651,5.50196970470483e-20
"ADAM33",0.405530091962211,1.30149951152535e-26
"ZFP36",0.214749615145894,4.41549313374082e-08
"TLR2",0.454343554733085,9.1005031786362e-34
"HYAL2",0.253875731646773,7.93816576754311e-11
"CYBB",0.291814015212143,5.70177961520796e-14
"DIO2",-0.442361765679822,6.68093905926794e-32
"LCP1",0.413103229273217,1.20123178294766e-27
"IL3RA",0.389726018620009,1.54901008571549e-24
"CITED2",-0.221610516604792,1.57998867294043e-08
"COL8A2",0.434003718567554,1.21066223314848e-30
"SPIRE1",-0.147350922555509,0.000189923961630845
"SV2C",-0.186581197456156,2.12093292440429e-06
"MOBP",-0.350289826900038,7.94831056140994e-20
"H1F0",0.176863215835155,7.10544063818184e-06
"RGS18",0.305623841848545,3.07184218141554e-15
"DNAJB6",0.399195090402238,9.11802994176428e-26
"IL17RB",0.471729793438121,1.30789241473579e-36
"CLEC2B",0.433480278288048,1.4476360960634e-30
"NFKBIA",0.514361938656753,2.59687573797503e-44
"TINAGL1",0.353481949346852,3.49044703241732e-20
"ACRC",0.256042947902903,5.41020974028709e-11
"KLRG1",0.227729752156923,6.1400323691239e-09
"ANXA2P1",0.391612204282637,8.87532943003806e-25
"TREM2",0.31712281034524,2.38987667564823e-16
"GAD1",-0.485144655121219,6.44114197032411e-39
"PRR12",0.263788463701347,1.33472915296964e-11
"OR7E91P",-0.254457318545898,7.16455655843624e-11
"CBLN1",-0.192305749224565,1.00961085354605e-06
"CORT",-0.479520554834428,6.15002640461809e-38
"CD14",0.318755397348247,1.64803856780436e-16
"VASN",0.305380863778136,3.23826053948636e-15
"IFI30",0.309044579560307,1.45393608836377e-15
"KRT18",0.145589066524484,0.000226960710424475
"LMO3",-0.326515314333192,2.72985371934633e-17
"DLL1",0.214268666176287,4.73935172415658e-08
"DUSP2",-0.476735196736769,1.85133281722475e-37
"PLSCR1",0.232677830492785,2.80294772988026e-09
"CRB2",0.473046431256034,7.84484538949586e-37
"FN1",0.224854644922855,9.6050528457602e-09
"CASP6",0.310676393338564,1.01408680294078e-15
"IFITM2",0.400923353641811,5.38336629041474e-26
"ARRDC2",0.319696382862029,1.32887658996491e-16
"PDE4DIP",0.380896309504281,2.00291813282536e-23
"DCN",0.340534382337595,9.27751917104732e-19
"SCN3B",-0.498573508787373,2.47860198764822e-41
"CYBRD1",0.448120129810075,8.65802088534381e-33
"GLUL",0.133074033531795,0.00075983474783222
"C1orf64",0.257649748107806,4.06220732939265e-11
"SPTBN1",-0.203209525134351,2.30649809284412e-07
"TUBB6",0.417743884748217,2.70591546038172e-28
"TBXAS1",0.398807645383002,1.02569857199939e-25
"EFHD1",0.394705838089734,3.53248187876136e-25
"CCR5",0.271704333166881,3.04384129298793e-12
"C10orf54",0.365973705935713,1.2724210054989e-21
"ITPKB",0.526182185455808,1.19984083603839e-46
"C10orf116",0.287985588817087,1.24654045926242e-13
"RHBDF2",0.507946185087891,4.40688845499351e-43
"FAM89A",0.4226884354684,5.38766635823681e-29
"CXCL5",0.186762137591855,2.07246174574362e-06
"DMBT1",-0.190009443626681,1.36345295993311e-06
"CHGB",-0.499558346375274,1.6325233055614e-41
"GPSM3",0.459522625499515,1.34699404466327e-34
"PGAM2",0.292301450908421,5.15691326179157e-14
"TRIO",0.341371529971481,7.53918045607476e-19
"FOLH1",-0.324568081898231,4.30729177786055e-17
"PEG10",0.313359126585239,5.58101798668668e-16
"DUSP6",-0.381948997333528,1.48220280812109e-23
"NPNT",0.226044281418439,7.9874390650834e-09
"FGFRL1",0.466133696025509,1.12042180714761e-35
"RSAD2",-0.246284248024863,2.95666898558129e-10
"CTSC",0.327418590724782,2.20685880494628e-17
"TP53INP2",-0.429392026082489,5.78603459624651e-30
"COLEC12",0.161143391899464,4.3921656031392e-05
"SLC1A3",0.356933363439044,1.41856015228708e-20
"ATCAY",-0.440463644988515,1.2991324073202e-31
"JUP",0.425420789617622,2.18301867322732e-29
"HIST1H3D",0.251878348647028,1.12669799261914e-10
"FCER1G",0.455893297615063,5.15564713036824e-34
"TCF7",0.346748241758755,1.95901841835693e-19
"HCN1",-0.278482941303857,8.2558173182971e-13
"STAB1",0.387833651095113,2.69865543319e-24
"GJB6",0.205305275269678,1.72025101503356e-07
"HLA-C",0.17927710754973,5.29369872317921e-06
"C20orf141",0.398317883557879,1.18998487046636e-25
"USP31",0.107074439217217,0.00683231392948551
"TFPI",0.294288341919347,3.41754129802537e-14
"TPM2",0.352046847374269,5.05896510906676e-20
"TPD52L1",0.447415087216672,1.11425973507159e-32
"EPN3",0.151549335536037,0.000123225630275706
"WNT6",0.377492634787931,5.26245587198404e-23
"NCALD",-0.55285360020417,2.87056023669014e-52
"LRRC32",0.406989283857437,8.26252500936596e-27
"PLTP",0.460759399419319,8.49411859525964e-35
"PI16",0.324464199849044,4.41296566382379e-17
"TNFRSF12A",0.293630061145005,3.91801513828417e-14
"FOLR2",0.260070058411148,2.62835513734544e-11
"PHLDA2",-0.172142412609647,1.24932027078584e-05
"ACSL5",0.284553309930736,2.48819863927733e-13
"ISG20",0.174340197469098,9.62458585634159e-06
"KCNQ3",-0.157732290832628,6.38210012402991e-05
"HAPLN2",0.286112492399993,1.81983802672043e-13
"SNED1",0.372428456902426,2.1690409962227e-22
"VWF",0.263557601319779,1.39251295218663e-11
"UBC",-0.243189318956571,4.99150552329929e-10
"PER2",-0.358381582763512,9.69023515104552e-21
"SLC2A5",0.306510807861423,2.53265480654007e-15
"FGF12",-0.47574056467899,2.73733366973947e-37
"KIAA1609",-0.103364096523119,0.00903666645352525
"C1orf162",0.414286536158039,8.2324822320792e-28
"GALNTL2",0.277165920177109,1.06681509671561e-12
"C12orf34",0.176863588617376,7.10511981310952e-06
"PPM1J",-0.167710321855173,2.09353631354725e-05
"GPR146",0.458104410284343,2.28025661692839e-34
"CIRBP",-0.485836321353255,4.86618470165822e-39
"HVCN1",0.453771694776101,1.12152569531019e-33
"SLC10A4",-0.421992871379492,6.77181532628847e-29
"ECHDC3",0.34739817932832,1.66156262369411e-19
"C3",0.326268143711111,2.89307727923436e-17
"CCND1",0.112075679990691,0.00462529669124526
"FBLN1",0.417111418323141,3.31995241655566e-28
"MYCT1",0.359521976823556,7.16805920322466e-21
"ID1",0.245749824805436,3.23814688359816e-10
"PRKACB",-0.232389148448564,2.93560142783363e-09
"UHMK1",0.124552957066027,0.00163453223966166
"MDGA1",0.337669040387509,1.87836572761267e-18
"IL10",0.19448209156427,7.56885460880294e-07
"LY86",0.285535288412504,2.04373043277335e-13
"TFF1",0.231676328194,3.28980984145561e-09
"LRP4",0.506665979466838,7.69818615898853e-43
"CA4",-0.375206883907745,1.00035027643402e-22
"GLDN",-0.321052813781167,9.73077869499642e-17
"ST8SIA3",-0.266136266272665,8.6535150293242e-12
"SEMA3G",-0.356080318421842,1.77395389474781e-20
"KIF1C",0.341726783330145,6.9024469985514e-19
"THBS2",0.136259438927206,0.000563972534549175
"RORA",0.19456002070003,7.49071881878278e-07
"NR4A1",-0.146348285280608,0.000210240534932452
"KHDRBS2",-0.475868203837315,2.60353422965594e-37
"SPARCL1",-0.165144679578717,2.8059373624984e-05
"HAVCR2",0.234216152748564,2.18854135092233e-09
"SCN2B",-0.155396265316026,8.20714494995969e-05
"APCDD1",0.223765622490177,1.13613092753323e-08
"PDPN",0.189619362156729,1.4343333109734e-06
"RTN1",-0.506080669935339,9.92672645469412e-43
"DFNB31",0.365873008894978,1.30761634263726e-21
"EPHX1",0.532685679084443,5.68135819249782e-48
"TYMS",-0.135948527218439,0.000580787043843934
"RASSF8",0.392995601290958,5.88560817984051e-25
"GRRP1",0.310828050556109,9.80581370710112e-16
"ARID5A",0.382296020607343,1.34183466890258e-23
"CD300A",0.268717549163264,5.34729786913187e-12
"FYB",0.286064687767354,1.83742904289738e-13
"DAB2",0.326288039772365,2.87959059895401e-17
"AKR1C3",0.354667758096841,2.56492603526539e-20
"PMP2",-0.122307260608994,0.00198511561260718
"SLC2A14",-0.177957178211993,6.2211357228672e-06
"PVRL3",-0.420321121460194,1.17066221792666e-28
"CDK5R2",-0.519608603119067,2.45015133219584e-45
"FKBP10",0.328504656009904,1.70729565125506e-17
"BTG2",0.181094504198035,4.23047094622493e-06
"PPP1R1B",0.41537689693889,5.80421527045779e-28
"CLDN5",0.295656798483594,2.5694375846707e-14
"IFI16",0.178543214562037,5.79167629828817e-06
"PLSCR4",0.410447149910214,2.78986342800762e-27
"PKP3",-0.223539414520333,1.17633277631752e-08
"SLC38A2",0.448522000901498,7.49636368779986e-33
"MRO",-0.183073649201309,3.30557933334428e-06
"TFF3",0.196673617206101,5.64414683321703e-07
"ZNF652",0.240122869865959,8.32742325076313e-10
"TNFSF10",-0.254186410659593,7.51529474035178e-11
"KCNJ16",0.148210998851204,0.000173978023765852
"LTBR",0.479276826792189,6.7753656775246e-38
"FGF2",0.366465737530629,1.11344997860472e-21
"RAB3IP",-0.124001972263526,0.00171484728660298
"PAPLN",0.236346743897396,1.54908290505547e-09
"LNPEP",-0.155054651294742,8.51207977797999e-05
"PDGFB",0.139744424729798,0.00040403460131582
"EMILIN2",0.305887467178401,2.90077974510809e-15
"RGMB",-0.161468116456707,4.23698332654597e-05
"KCNIP3",-0.514443886626404,2.50365565093762e-44
"PCP4L1",-0.494756591740029,1.23451630149034e-40
"CA14",-0.359113908884641,7.98572146168757e-21
"CA2",0.321207634457763,9.38980796859206e-17
"FLT1",0.197567722972268,5.00257430030358e-07
"ISLR",0.308441181795928,1.66018727476248e-15
"NRN1",-0.610184819901642,3.12230155468966e-66
"TTC12",-0.200332959823123,3.4323679135355e-07
"LIX1",0.206788295152957,1.39527069770398e-07
"ITGB2",0.39524243482958,3.00779998265144e-25
"CACNB1",-0.173952658551698,1.00800099400029e-05
"AQP4",0.449206978473228,5.86155482208109e-33
"PTPRC",0.327158286848712,2.34651711290131e-17
"THOC3",-0.10580534315175,0.00752509712011971
"CXCL14",-0.45144309264496,2.61544274433777e-33
"ZFP36L1",0.531806996324199,8.6121894424515e-48
"APLP1",0.266190554481994,8.56680485380068e-12
"CSRP1",0.462133276490135,5.07819676815284e-35
"HOOK2",0.204670598551015,1.88062842270576e-07
"ANGPT1",0.444121673070741,3.59267824474139e-32
"ELOVL7",0.356708904289428,1.5046119762801e-20
"SCG3",-0.514650150272286,2.28346321171969e-44
"BCL6",0.493562654902959,2.03146509414141e-40
"IL13RA2",-0.22662030567727,7.3024195708763e-09
"MYC",0.329798956719301,1.25569843637336e-17
"SMOC2",-0.11162190691798,0.00479496146755838
"RNASE4",0.397196390529726,1.67063936738898e-25
"NOTCH2NL",0.106599638074895,0.00708450989876141
"TPBG",-0.394565313701605,3.68422528545049e-25
"SLC44A3",0.37780588437084,4.817093265427e-23
"TMBIM1",0.336470742975615,2.51739136876679e-18
"SOD3",0.348553219112568,1.23879099591508e-19
"MRAS",0.328555049885406,1.68704161175062e-17
"NRIP2",0.373821153425685,1.47297576150861e-22
"MYL5",-0.35724224487164,1.30803041058048e-20
"IFI44L",-0.192491656450791,9.85192414872847e-07
"VAV3",0.256267221772348,5.19869897452989e-11
"RFX4",0.475906015364482,2.56515776386636e-37
"ITM2A",-0.108641006221853,0.00605630011100836
"GRIA1",-0.35614782699574,1.7428866893676e-20
"KPNB1",-0.130395105960127,0.000971497574171026
"LPHN1",0.172318521805457,1.22362236740489e-05
"DAAM1",0.274823566985586,1.6773349233693e-12
"MARCKS",-0.221885482807352,1.51516855720919e-08
"CTSH",0.242662116652232,5.45334873577623e-10
"IL1R1",0.289775521769456,8.66018779120997e-14
"VILL",-0.218278690137598,2.61353437931743e-08
"CALM3",-0.17522399880086,8.65819810939472e-06
"ACTG1",-0.29528326028655,2.77790617159011e-14
"DMGDH",-0.108281411540347,0.00622706725100627
"LAMA5",0.221123755523923,1.70138418092214e-08
"NRGN",-0.371589023441276,2.73638692411288e-22
"LRRC1",0.334192280067867,4.3774784844106e-18
"ATAD3C",0.246931900469422,2.6473826550915e-10
"MGST1",0.332228811558346,7.02548794158522e-18
"ADAM28",0.139876987818234,0.000398880511234002
"MRPS6",0.299313808276384,1.18994015879457e-14
"DDC",-0.1432557888321,0.000286471376537943
"GRIK1",-0.474624491234504,4.23882082164771e-37
"SAMD10",-0.318438088841455,1.77180599274593e-16
"LYPD1",-0.166745177789532,2.33857891127712e-05
"SLA",0.426777289248668,1.38975097641493e-29
"PLCH2",-0.410919473446689,2.40295533740631e-27
"TGFB3",0.19290340183502,9.33113606801929e-07
"GSTM3",0.125881304048003,0.00145489811820345
"SVOP",-0.53493319141277,1.94952762523083e-48
"LAMP1",-0.139510785131736,0.000413269960074667
"MYBPC2",-0.197491089276572,5.05469066929375e-07
"FBXL19",-0.15854964638391,5.83955060846222e-05
"CRYZ",0.20966680163105,9.25210144302003e-08
"NAP1L5",-0.580649886978694,1.08041399651677e-58
"PPAP2B",0.279768299623476,6.4199521048847e-13
"DGKG",0.429305971461907,5.95605488712936e-30
"CEBPB",0.486798568803952,3.29088332952836e-39
"LRRTM1",-0.39275631051869,6.31988399908243e-25
"GRASP",-0.502900774394816,3.91707188147836e-42
"OGFRL1",0.438311456431175,2.74744249482479e-31
"DBN1",0.202754502869954,2.45713444260664e-07
"IRF2BP1",0.329721682767998,1.27899566693771e-17
"ADAMTS2",0.321413963928281,8.95360772284837e-17
"IL4R",0.363295643601174,2.62027095896369e-21
"NFKBIZ",0.297732060848435,1.66230056704074e-14
"UHRF1",0.329977238342649,1.20353057791309e-17
"LAT2",0.425436153881414,2.17190635537797e-29
"NEFL",-0.497827726199132,3.39736487771436e-41
"CDKN1C",0.370870118491227,3.33705446235793e-22
"ROCK2",-0.226948548369393,6.93793075655657e-09
"LEPREL1",0.30420914701833,4.17354136179191e-15
"DUSP9",0.26428712043513,1.21779861048905e-11
"KCNQ1",0.342739201657705,5.36442009816216e-19
"CKS2",0.104083246016248,0.00856549070823624
"CASP1",0.389218153581208,1.79850540654305e-24
"EMP3",0.51295675655173,4.85310528036948e-44
"TPM3",-0.237864444524857,1.20859674269616e-09
"SVEP1",-0.152918450150072,0.000106748295656249
"BMP6",0.387579458784312,2.90678523834097e-24
"DNAJB4",0.158267468584917,6.02173201410805e-05
"TFEB",0.238492932163419,1.09000242155902e-09
"PPP1R15A",-0.116006231707731,0.00336766168973681
"NRXN3",-0.573652085218342,5.11669001410342e-57
"DOCK8",0.331953358914487,7.50552094071944e-18
"IL27",0.218680383034767,2.46070580482937e-08
"C17orf72",-0.451637378762427,2.43765210563703e-33
"CD59",0.522604116732821,6.24832153746439e-46
"SLC7A7",0.370507582035557,3.68759987571419e-22
"CHST3",0.485036872974297,6.72843216197175e-39
"ADRA2A",-0.300348294592412,9.55185857044572e-15
"ICAM2",0.340779000019092,8.73233434910789e-19
"RASL12",0.349461021228841,9.82659037141684e-20
"KCNIP1",-0.516377710637731,1.05356015375293e-44
"IER5",-0.131118129402664,0.000909560284856433
"CMTM5",-0.289619450225209,8.94055251787197e-14
"PCID2",0.21451621610614,4.56989035556751e-08
"LRRC55",-0.161690849200379,4.13355798668345e-05
"MORC4",0.201599979393786,2.88310919283049e-07
"HIST3H2BB",0.382487583315927,1.27006193658558e-23
"SLC39A11",0.483289934964492,1.36186354738833e-38
"SLC2A13",0.142842338539403,0.00029843041469141
"LDLRAP1",0.109737584475793,0.00556122636233423
"PLOD3",0.347681441910525,1.54629716468293e-19
"GRAMD3",0.465802321091726,1.2708050644468e-35
"NIPA1",-0.102435665878477,0.00967903552279308
"TOMM20",-0.569627805422419,4.51195772758975e-56
"GIMAP5",0.391560154311314,9.01322024845676e-25
"ABCA2",0.348911547601154,1.13065517879107e-19
"ZNF492",-0.198495955134559,4.41096722697156e-07
"MLXIP",0.2518827626836,1.12583012964307e-10
"CDR1",0.137170644992658,0.000517262634366551
"TMEM125",-0.312517165199483,6.73592843365865e-16
"B4GALT1",0.401264146029271,4.85030391979259e-26
"ITGB4",0.451428636874508,2.6291734427707e-33
"AKR1C1",0.376376768153756,7.20528303546771e-23
"LMO1",-0.207903753589546,1.19074863877299e-07
"PLA2G4D",-0.117420792317247,0.0029972544054129
"TRIM66",0.117240362165767,0.00304234271728791
"ATP6V1A",-0.3957712904623,2.56625571503243e-25
"NNAT",-0.253877239472882,7.93605843411131e-11
"CECR7",-0.121362566483286,0.00215218830542004
"FBXO16",-0.520164976272605,1.90291253446513e-45
"IRF5",0.171081541116253,1.41533037163961e-05
"HP",0.135775427024457,0.000590349148294026
"KIAA1751",-0.205789853584552,1.60676753347107e-07
"LPL",0.162576865601564,3.74532493672837e-05
"KTN1",0.455227627530681,6.58324834625429e-34
"LDLR",0.228922349307156,5.0909413311492e-09
"GALNTL4",0.204134853856467,2.02714352877579e-07
"CLIC1",0.474679290830206,4.14893269522906e-37
"PGAM1",-0.478136647746804,1.06469168810432e-37
"LGALS3",0.251291407448943,1.24810157591296e-10
"SASH1",0.441748447399201,8.28626506204419e-32
"TRIB3",-0.10353574598097,0.00892215388207015
"ACTL6A",0.355785964705762,1.91592144102459e-20
"SERPINB1",0.267760738815936,6.39570949383185e-12
"SERHL2",0.272961932061459,2.39595310510558e-12
"GRAMD1C",0.45997436190054,1.13846466935561e-34
"TUBA8",0.286279164445073,1.75978798251051e-13
"KIT",-0.336116879785683,2.74409120963006e-18
"LHFPL2",0.514748117818071,2.18572309311159e-44
"SVIL",0.325605010545444,3.37994993672112e-17
"TBC1D5",0.144650406919222,0.000249354522223574
"COX7A1",-0.160890807797641,4.51657549882903e-05
"NT5C2",0.189492424791328,1.45815139745356e-06
