"","Module","Gene"
"GHRL","MsAge7K_03","GHRL"
"FABP7","MsAge7K_01","FABP7"
"APOC1","MsAge7K_00","APOC1"
"FREM3","MsAge7K_00","FREM3"
"ECT2","MsAge7K_00","ECT2"
"ARL4D","MsAge7K_00","ARL4D"
"MAP4K1","MsAge7K_00","MAP4K1"
"NUPR1","MsAge7K_07","NUPR1"
"PRPH","MsAge7K_02","PRPH"
"CHN2","MsAge7K_00","CHN2"
"EYA2","MsAge7K_07","EYA2"
"TBX15","MsAge7K_00","TBX15"
"UCMA","MsAge7K_00","UCMA"
"F13A1","MsAge7K_00","F13A1"
"AP1M2","MsAge7K_00","AP1M2"
"LRRC36","MsAge7K_14","LRRC36"
"CD48","MsAge7K_04","CD48"
"SSPO","MsAge7K_01","SSPO"
"TM6SF2","MsAge7K_00","TM6SF2"
"TMIE","MsAge7K_00","TMIE"
"GCNT4","MsAge7K_02","GCNT4"
"ADAMTS12","MsAge7K_00","ADAMTS12"
"SPATA18","MsAge7K_14","SPATA18"
"CNMD","MsAge7K_00","CNMD"
"ZNF704","MsAge7K_03","ZNF704"
"OTOF","MsAge7K_00","OTOF"
"EFEMP1","MsAge7K_00","EFEMP1"
"ACAP1","MsAge7K_14","ACAP1"
"ISG20","MsAge7K_00","ISG20"
"IL1RAPL2","MsAge7K_02","IL1RAPL2"
"RGS16","MsAge7K_00","RGS16"
"NCF1","MsAge7K_00","NCF1"
"HEXB","MsAge7K_00","HEXB"
"TLR1","MsAge7K_00","TLR1"
"CNN1","MsAge7K_07","CNN1"
"MYLK3","MsAge7K_11","MYLK3"
"DRD1","MsAge7K_02","DRD1"
"E2F2","MsAge7K_00","E2F2"
"MPP4","MsAge7K_00","MPP4"
"BMP4","MsAge7K_00","BMP4"
"GLIS1","MsAge7K_08","GLIS1"
"DES","MsAge7K_00","DES"
"PLA1A","MsAge7K_00","PLA1A"
"CFAP161","MsAge7K_06","CFAP161"
"OLFML2A","MsAge7K_07","OLFML2A"
"IL27RA","MsAge7K_00","IL27RA"
"XAF1","MsAge7K_04","XAF1"
"CMKLR1","MsAge7K_04","CMKLR1"
"LOXL4","MsAge7K_00","LOXL4"
"DNAI2","MsAge7K_00","DNAI2"
"RAMP3","MsAge7K_00","RAMP3"
"IDE","MsAge7K_00","IDE"
"FIBIN","MsAge7K_07","FIBIN"
"EDN1","MsAge7K_00","EDN1"
"ADCYAP1","MsAge7K_05","ADCYAP1"
"ALDH3A1","MsAge7K_00","ALDH3A1"
"COL6A2","MsAge7K_05","COL6A2"
"UNC13D","MsAge7K_00","UNC13D"
"ANKUB1","MsAge7K_09","ANKUB1"
"GEM","MsAge7K_00","GEM"
"C9orf116","MsAge7K_00","C9orf116"
"PLCH1","MsAge7K_02","PLCH1"
"PHF19","MsAge7K_00","PHF19"
"OPRK1","MsAge7K_00","OPRK1"
"CENPF","MsAge7K_01","CENPF"
"RPGRIP1","MsAge7K_00","RPGRIP1"
"RAC2","MsAge7K_00","RAC2"
"SERPINA12","MsAge7K_00","SERPINA12"
"KCNIP4","MsAge7K_08","KCNIP4"
"MUC3A","MsAge7K_00","MUC3A"
"NKX6-2","MsAge7K_09","NKX6-2"
"CDH3","MsAge7K_00","CDH3"
"TMPRSS7","MsAge7K_00","TMPRSS7"
"STAT5A","MsAge7K_00","STAT5A"
"PIK3AP1","MsAge7K_00","PIK3AP1"
"CD300LG","MsAge7K_00","CD300LG"
"EHHADH","MsAge7K_00","EHHADH"
"PIK3R5","MsAge7K_00","PIK3R5"
"PHF11","MsAge7K_00","PHF11"
"DNAH6","MsAge7K_14","DNAH6"
"PRDM1","MsAge7K_00","PRDM1"
"VAX1","MsAge7K_06","VAX1"
"TRIM13","MsAge7K_00","TRIM13"
"NRG4","MsAge7K_00","NRG4"
"CD209","MsAge7K_00","CD209"
"C6orf222","MsAge7K_05","C6orf222"
"LY6G6F","MsAge7K_00","LY6G6F"
"RARRES2","MsAge7K_14","RARRES2"
"CD274","MsAge7K_00","CD274"
"TSPAN11","MsAge7K_00","TSPAN11"
"IGSF9","MsAge7K_00","IGSF9"
"FYB1","MsAge7K_00","FYB1"
"ZNF366","MsAge7K_00","ZNF366"
"BMP3","MsAge7K_02","BMP3"
"SLC6A19","MsAge7K_00","SLC6A19"
"C3orf62","MsAge7K_00","C3orf62"
"NIPAL4","MsAge7K_01","NIPAL4"
"FAM166B","MsAge7K_00","FAM166B"
"EN2","MsAge7K_00","EN2"
"CALCR","MsAge7K_06","CALCR"
"ODF3B","MsAge7K_14","ODF3B"
"SNTN","MsAge7K_14","SNTN"
"TBX3","MsAge7K_00","TBX3"
"FST","MsAge7K_00","FST"
"EQTN","MsAge7K_00","EQTN"
"B3GNT5","MsAge7K_00","B3GNT5"
"CES5A","MsAge7K_00","CES5A"
"EVA1B","MsAge7K_00","EVA1B"
