nodeName	altName	nodeAttr.nodesPresent...
LGALS3BP	LGALS3BP	NA
UPK1B	UPK1B	NA
SOWAHB	SOWAHB	NA
APOLD1	APOLD1	NA
GABRQ	GABRQ	NA
TNNT2	TNNT2	NA
RSAD2	RSAD2	NA
SULT1C2	SULT1C2	NA
CGA	CGA	NA
CCDC153	CCDC153	NA
ADAM33	ADAM33	NA
CYP2E1	CYP2E1	NA
SOST	SOST	NA
CD44	CD44	NA
PENK	PENK	NA
GNB3	GNB3	NA
MGP	MGP	NA
ENPP6	ENPP6	NA
CD52	CD52	NA
INMT	INMT	NA
INMT-MINDY4	INMT-MINDY4	NA
ASPG	ASPG	NA
IGHM	IGHM	NA
COL6A1	COL6A1	NA
TMTC2	TMTC2	NA
COX8C	COX8C	NA
GBP2	GBP2	NA
HSPA1A	HSPA1A	NA
HSPA1B	HSPA1B	NA
WNT6	WNT6	NA
FLNC	FLNC	NA
FAM83D	FAM83D	NA
MYBPC1	MYBPC1	NA
LRRC71	LRRC71	NA
MX1	MX1	NA
GALNT15	GALNT15	NA
MYH11	MYH11	NA
CARD17	CARD17	NA
CARD16	CARD16	NA
CASP1	CASP1	NA
VWC2L	VWC2L	NA
COL8A1	COL8A1	NA
ADAMTS14	ADAMTS14	NA
ACER2	ACER2	NA
PRDM6	PRDM6	NA
SLC14A2	SLC14A2	NA
GAPDH	GAPDH	NA
GADL1	GADL1	NA
ZNF474	ZNF474	NA
OVOL2	OVOL2	NA
DRAXIN	DRAXIN	NA
COL2A1	COL2A1	NA
GSN	GSN	NA
RPL23A	RPL23A	NA
ISG15	ISG15	NA
RTP4	RTP4	NA
ACTA2	ACTA2	NA
PDE6G	PDE6G	NA
LRMDA	LRMDA	NA
MT-ATP8	MT-ATP8	NA
FOXP2	FOXP2	NA
KCNG3	KCNG3	NA
APOD	APOD	NA
PBK	PBK	NA
MT1M	MT1M	NA
MT1X	MT1X	NA
COL1A1	COL1A1	NA
SGCZ	SGCZ	NA
EBF2	EBF2	NA
C11orf97	C11orf97	NA
SEMA3A	SEMA3A	NA
CA13	CA13	NA
PEG10	PEG10	NA
ADAMTSL3	ADAMTSL3	NA
NPFFR1	NPFFR1	NA
DNAH12	DNAH12	NA
IL12RB1	IL12RB1	NA
DNALI1	DNALI1	NA
DNAH10	DNAH10	NA
NEUROG2	NEUROG2	NA
MOBP	MOBP	NA
MYO3B	MYO3B	NA
PAPLN	PAPLN	NA
RTP1	RTP1	NA
CLDN11	CLDN11	NA
ZNF804B	ZNF804B	NA
AK7	AK7	NA
SGK1	SGK1	NA
CHRM5	CHRM5	NA
SLITRK6	SLITRK6	NA
OSR1	OSR1	NA
KLF5	KLF5	NA
RASSF10	RASSF10	NA
LHX1	LHX1	NA
STYK1	STYK1	NA
DDX60	DDX60	NA
ICAM1	ICAM1	NA
ANXA1	ANXA1	NA
CYP1B1	CYP1B1	NA
DMGDH	DMGDH	NA
SLC5A7	SLC5A7	NA
ENDOU	ENDOU	NA
NNMT	NNMT	NA
LGALS3	LGALS3	NA
C3AR1	C3AR1	NA
MYO9A	MYO9A	NA
VWF	VWF	NA
SLC26A7	SLC26A7	NA
GPR182	GPR182	NA
ANO1	ANO1	NA
AQP1	AQP1	NA
COL1A2	COL1A2	NA
SLC17A6	SLC17A6	NA
ZIC5	ZIC5	NA
CARTPT	CARTPT	NA
SLC13A3	SLC13A3	NA
GJB2	GJB2	NA
OR2AK2	OR2AK2	NA
CASR	CASR	NA
DUSP1	DUSP1	NA
KCNE2	KCNE2	NA
AEBP1	AEBP1	NA
ELN	ELN	NA
CLDN2	CLDN2	NA
COL9A1	COL9A1	NA
NME9	NME9	NA
GABRR2	GABRR2	NA
SCTR	SCTR	NA
TNNI3K	TNNI3K	NA
FPGT-TNNI3K	FPGT-TNNI3K	NA
MEOX1	MEOX1	NA
IFI44	IFI44	NA
LDLRAP1	LDLRAP1	NA
BDKRB2	BDKRB2	NA
ITGAD	ITGAD	NA
CORIN	CORIN	NA
SIK1	SIK1	NA
SIK1B	SIK1B	NA
UGT8	UGT8	NA
RPE65	RPE65	NA
CYR61	CYR61	NA
JUNB	JUNB	NA
RNF207	RNF207	NA
TMEM255B	TMEM255B	NA
NRG1	NRG1	NA
LAG3	LAG3	NA
IFITM2	IFITM2	NA
IFITM3	IFITM3	NA
IFITM1	IFITM1	NA
SIGLEC1	SIGLEC1	NA
EGR1	EGR1	NA
SLC11A1	SLC11A1	NA
CST7	CST7	NA
SHISA8	SHISA8	NA
C1QTNF7	C1QTNF7	NA
PLEKHF1	PLEKHF1	NA
CRYGN	CRYGN	NA
MYL4	MYL4	NA
CALB2	CALB2	NA
CILP2	CILP2	NA
RNF213	RNF213	NA
CNGB1	CNGB1	NA
LOX	LOX	NA
WDR49	WDR49	NA
PTPRC	PTPRC	NA
TRIM14	TRIM14	NA
ZC3HAV1	ZC3HAV1	NA
PROM2	PROM2	NA
DEPDC7	DEPDC7	NA
PDE6C	PDE6C	NA
AHNAK2	AHNAK2	NA
HAPLN2	HAPLN2	NA
GBP6	GBP6	NA
PTH2R	PTH2R	NA
TACR3	TACR3	NA
NKX2-1	NKX2-1	NA
IER2	IER2	NA
PPL	PPL	NA
LYVE1	LYVE1	NA
PLXDC1	PLXDC1	NA
SAMD9L	SAMD9L	NA
SP7	SP7	NA
ALPK2	ALPK2	NA
CD4	CD4	NA
LRRC74B	LRRC74B	NA
TEX13D	TEX13D	NA
TEX13C	TEX13C	NA
ERVW-1	ERVW-1	NA
MAL	MAL	NA
DNAH11	DNAH11	NA
FRMPD2	FRMPD2	NA
TNFSF13B	TNFSF13B	NA
THBS4	THBS4	NA
COL23A1	COL23A1	NA
TRDN	TRDN	NA
TTLL6	TTLL6	NA
CYP26B1	CYP26B1	NA
ANKRD66	ANKRD66	NA
GPR6	GPR6	NA
GPR50	GPR50	NA
UNC13C	UNC13C	NA
LIN28B	LIN28B	NA
ADAMTS18	ADAMTS18	NA
SLC38A5	SLC38A5	NA
GHRL	GHRL	NA
FABP7	FABP7	NA
ECT2	ECT2	NA
ARL4D	ARL4D	NA
NUPR1	NUPR1	NA
PRPH	PRPH	NA
CHN2	CHN2	NA
EYA2	EYA2	NA
F13A1	F13A1	NA
AP1M2	AP1M2	NA
LRRC36	LRRC36	NA
CD48	CD48	NA
SSPO	SSPO	NA
TM6SF2	TM6SF2	NA
GCNT4	GCNT4	NA
SPATA18	SPATA18	NA
CNMD	CNMD	NA
ZNF704	ZNF704	NA
OTOF	OTOF	NA
EFEMP1	EFEMP1	NA
ACAP1	ACAP1	NA
IL1RAPL2	IL1RAPL2	NA
NCF1	NCF1	NA
HEXB	HEXB	NA
CNN1	CNN1	NA
MYLK3	MYLK3	NA
DRD1	DRD1	NA
MPP4	MPP4	NA
BMP4	BMP4	NA
GLIS1	GLIS1	NA
CFAP161	CFAP161	NA
OLFML2A	OLFML2A	NA
XAF1	XAF1	NA
CMKLR1	CMKLR1	NA
IDE	IDE	NA
FIBIN	FIBIN	NA
ADCYAP1	ADCYAP1	NA
COL6A2	COL6A2	NA
ANKUB1	ANKUB1	NA
PLCH1	PLCH1	NA
OPRK1	OPRK1	NA
CENPF	CENPF	NA
KCNIP4	KCNIP4	NA
MUC3A	MUC3A	NA
NKX6-2	NKX6-2	NA
PIK3AP1	PIK3AP1	NA
DNAH6	DNAH6	NA
VAX1	VAX1	NA
C6orf222	C6orf222	NA
RARRES2	RARRES2	NA
CD274	CD274	NA
IGSF9	IGSF9	NA
FYB1	FYB1	NA
ZNF366	ZNF366	NA
BMP3	BMP3	NA
SLC6A19	SLC6A19	NA
NIPAL4	NIPAL4	NA
EN2	EN2	NA
CALCR	CALCR	NA
ODF3B	ODF3B	NA
SNTN	SNTN	NA
B3GNT5	B3GNT5	NA
EVA1B	EVA1B	NA
CHST3	CHST3	NA
TAP1	TAP1	NA
TCAF2	TCAF2	NA
TCAF2C	TCAF2C	NA
UNC5CL	UNC5CL	NA
ESR1	ESR1	NA
NID1	NID1	NA
NLRC5	NLRC5	NA
CPED1	CPED1	NA
SNORD104	SNORD104	NA
NEIL3	NEIL3	NA
OAS2	OAS2	NA
KIF19	KIF19	NA
KIF11	KIF11	NA
KRT2	KRT2	NA
GRB7	GRB7	NA
SLC6A20	SLC6A20	NA
ACP7	ACP7	NA
FHOD3	FHOD3	NA
TBX18	TBX18	NA
PLP1	PLP1	NA
FAM47E	FAM47E	NA
FAM47E-STBD1	FAM47E-STBD1	NA
LSP1	LSP1	NA
DAPK2	DAPK2	NA
RASSF6	RASSF6	NA
CDKN1A	CDKN1A	NA
SERPING1	SERPING1	NA
ARPC1B	ARPC1B	NA
SLCO4A1	SLCO4A1	NA
KBTBD6	KBTBD6	NA
KBTBD7	KBTBD7	NA
CACNA2D4	CACNA2D4	NA
GLRA3	GLRA3	NA
PARP14	PARP14	NA
BTG2	BTG2	NA
FBLN2	FBLN2	NA
RANBP3L	RANBP3L	NA
PTAR1	PTAR1	NA
LIPH	LIPH	NA
RGS22	RGS22	NA
ALOX5	ALOX5	NA
OR10H4	OR10H4	NA
OR10H3	OR10H3	NA
NHLH2	NHLH2	NA
EXOC3L4	EXOC3L4	NA
ALDH3B2	ALDH3B2	NA
OR10H1	OR10H1	NA
OR10H5	OR10H5	NA
OR10H2	OR10H2	NA
MOG	MOG	NA
CCDC187	CCDC187	NA
NXPH4	NXPH4	NA
RDH16	RDH16	NA
TSPAN2	TSPAN2	NA
MPZL2	MPZL2	NA
CCDC170	CCDC170	NA
TPBG	TPBG	NA
WNK3	WNK3	NA
TMPRSS6	TMPRSS6	NA
USP18	USP18	NA
USP41	USP41	NA
SLFN11	SLFN11	NA
SLFN13	SLFN13	NA
CKAP2	CKAP2	NA
NEK5	NEK5	NA
LEMD1	LEMD1	NA
SATB2	SATB2	NA
RXRG	RXRG	NA
IL23A	IL23A	NA
CES1	CES1	NA
HCAR1	HCAR1	NA
ERICH5	ERICH5	NA
SLC22A18	SLC22A18	NA
PTGER3	PTGER3	NA
MYH7	MYH7	NA
ZC3H7A	ZC3H7A	NA
WDR72	WDR72	NA
FGFBP1	FGFBP1	NA
AUNIP	AUNIP	NA
CXCL16	CXCL16	NA
PTPRH	PTPRH	NA
DDT	DDT	NA
DDTL	DDTL	NA
SCN4B	SCN4B	NA
SLC35E2B	SLC35E2B	NA
ZFHX3	ZFHX3	NA
TEX11	TEX11	NA
KLF2	KLF2	NA
TRIM16	TRIM16	NA
TRIM16L	TRIM16L	NA
CITED4	CITED4	NA
PTGFR	PTGFR	NA
CCKBR	CCKBR	NA
DMKN	DMKN	NA
RAB37	RAB37	NA
CHRDL1	CHRDL1	NA
HLA-DOB	HLA-DOB	NA
HYDIN	HYDIN	NA
PRKG2	PRKG2	NA
VEGFD	VEGFD	NA
ADAMTSL4	ADAMTSL4	NA
SLC15A3	SLC15A3	NA
TMEM210	TMEM210	NA
TMEM125	TMEM125	NA
PSMB9	PSMB9	NA
MRC1	MRC1	NA
STIL	STIL	NA
MKI67	MKI67	NA
EXPH5	EXPH5	NA
TLR2	TLR2	NA
MED13	MED13	NA
NR4A1	NR4A1	NA
BTAF1	BTAF1	NA
CFAP126	CFAP126	NA
MAPK15	MAPK15	NA
NPSR1	NPSR1	NA
ADGRG6	ADGRG6	NA
UBE2L6	UBE2L6	NA
WNT10A	WNT10A	NA
BMP5	BMP5	NA
SGK2	SGK2	NA
CFAP43	CFAP43	NA
GALNT5	GALNT5	NA
CFAP77	CFAP77	NA
MAP3K6	MAP3K6	NA
KIF23	KIF23	NA
NGFR	NGFR	NA
KREMEN2	KREMEN2	NA
CORO6	CORO6	NA
HDC	HDC	NA
ZNF648	ZNF648	NA
GLRA2	GLRA2	NA
TAOK1	TAOK1	NA
SVEP1	SVEP1	NA
BMF	BMF	NA
LRRN4	LRRN4	NA
PRR5	PRR5	NA
CNTNAP3B	CNTNAP3B	NA
CNTNAP3C	CNTNAP3C	NA
CNTNAP3	CNTNAP3	NA
GNG8	GNG8	NA
SAG	SAG	NA
LNPEP	LNPEP	NA
HLA-DMB	HLA-DMB	NA
ZBTB7C	ZBTB7C	NA
MUC6	MUC6	NA
LUM	LUM	NA
OSMR	OSMR	NA
TRPC3	TRPC3	NA
HCN4	HCN4	NA
IRGM	IRGM	NA
TNFRSF11B	TNFRSF11B	NA
LRRC9	LRRC9	NA
IL21R	IL21R	NA
FBLIM1	FBLIM1	NA
PCP4	PCP4	NA
MLPH	MLPH	NA
HEYL	HEYL	NA
ANPEP	ANPEP	NA
MEI1	MEI1	NA
SLC36A2	SLC36A2	NA
STPG2	STPG2	NA
PDLIM2	PDLIM2	NA
ENKUR	ENKUR	NA
PCSK9	PCSK9	NA
PRR11	PRR11	NA
HS3ST3B1	HS3ST3B1	NA
GPR153	GPR153	NA
GALR1	GALR1	NA
GPNMB	GPNMB	NA
MUSTN1	MUSTN1	NA
CAPG	CAPG	NA
GRID2IP	GRID2IP	NA
ZIC2	ZIC2	NA
ATG9B	ATG9B	NA
HRH1	HRH1	NA
DKK2	DKK2	NA
MYB	MYB	NA
CD14	CD14	NA
DPP4	DPP4	NA
ASGR1	ASGR1	NA
TPM2	TPM2	NA
CDKN2C	CDKN2C	NA
RAB38	RAB38	NA
LY75	LY75	NA
LY75-CD302	LY75-CD302	NA
RBM3	RBM3	NA
LDLR	LDLR	NA
SLC13A4	SLC13A4	NA
IER3	IER3	NA
STAP1	STAP1	NA
SP9	SP9	NA
KCNH4	KCNH4	NA
DTL	DTL	NA
FAS	FAS	NA
DDX58	DDX58	NA
VN1R5	VN1R5	NA
FOSB	FOSB	NA
DEPDC1B	DEPDC1B	NA
IGFBP6	IGFBP6	NA
GSDMD	GSDMD	NA
TNNI1	TNNI1	NA
ADGRE1	ADGRE1	NA
UGT3A2	UGT3A2	NA
LY6G6E	LY6G6E	NA
PRIMA1	PRIMA1	NA
TPBGL	TPBGL	NA
ST14	ST14	NA
VAMP5	VAMP5	NA
UHRF1	UHRF1	NA
DDC	DDC	NA
MLF1	MLF1	NA
ZDHHC22	ZDHHC22	NA
OAS1	OAS1	NA
MAG	MAG	NA
SLC22A2	SLC22A2	NA
METTL11B	METTL11B	NA
COLEC12	COLEC12	NA
C1orf94	C1orf94	NA
TAC1	TAC1	NA
CDK1	CDK1	NA
COL5A1	COL5A1	NA
SLAMF9	SLAMF9	NA
PRR32	PRR32	NA
WDFY4	WDFY4	NA
ADAMTS4	ADAMTS4	NA
PLCXD2	PLCXD2	NA
CDHR3	CDHR3	NA
APOBR	APOBR	NA
PLPP2	PLPP2	NA
MC3R	MC3R	NA
CLDN19	CLDN19	NA
DMRT2	DMRT2	NA
FOLR1	FOLR1	NA
KRT20	KRT20	NA
HSPG2	HSPG2	NA
MC4R	MC4R	NA
FGFBP3	FGFBP3	NA
WDR63	WDR63	NA
TTLL8	TTLL8	NA
CD37	CD37	NA
C1QTNF2	C1QTNF2	NA
CDC42EP2	CDC42EP2	NA
ASB16	ASB16	NA
SRGN	SRGN	NA
SMPDL3B	SMPDL3B	NA
APLNR	APLNR	NA
EMILIN1	EMILIN1	NA
COBL	COBL	NA
RAD54B	RAD54B	NA
FSBP	FSBP	NA
CHRNB4	CHRNB4	NA
FBLN5	FBLN5	NA
SP110	SP110	NA
TDGF1	TDGF1	NA
MYO1H	MYO1H	NA
CFAP221	CFAP221	NA
CST6	CST6	NA
LAMA1	LAMA1	NA
MET	MET	NA
CYP3A43	CYP3A43	NA
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	NA
CYP3A4	CYP3A4	NA
CYP3A7	CYP3A7	NA
CYP3A5	CYP3A5	NA
ATP6V1C2	ATP6V1C2	NA
SEC14L4	SEC14L4	NA
SYNDIG1L	SYNDIG1L	NA
MB	MB	NA
CACNA2D2	CACNA2D2	NA
ACPP	ACPP	NA
METTL24	METTL24	NA
IFIH1	IFIH1	NA
ZHX1-C8orf76	ZHX1-C8orf76	NA
C8orf76	C8orf76	NA
GRAPL	GRAPL	NA
GRAP	GRAP	NA
CD84	CD84	NA
TGM3	TGM3	NA
ARMC3	ARMC3	NA
SFRP2	SFRP2	NA
TXLNB	TXLNB	NA
LEFTY1	LEFTY1	NA
LEFTY2	LEFTY2	NA
FOXD1	FOXD1	NA
ZBP1	ZBP1	NA
CCDC167	CCDC167	NA
ARHGAP6	ARHGAP6	NA
IFI16	IFI16	NA
PYHIN1	PYHIN1	NA
DNAAF3	DNAAF3	NA
HSF4	HSF4	NA
CD180	CD180	NA
OPCML	OPCML	NA
CEBPD	CEBPD	NA
ATP2B4	ATP2B4	NA
CD300C	CD300C	NA
LRRC32	LRRC32	NA
MUSK	MUSK	NA
CFAP45	CFAP45	NA
CCDC80	CCDC80	NA
CNP	CNP	NA
PDZRN3	PDZRN3	NA
GALNT6	GALNT6	NA
CEP350	CEP350	NA
CELA1	CELA1	NA
FAM167A	FAM167A	NA
ILDR1	ILDR1	NA
ERBB3	ERBB3	NA
BGN	BGN	NA
HS3ST3A1	HS3ST3A1	NA
EVPL	EVPL	NA
PLK5	PLK5	NA
CTSK	CTSK	NA
C2orf40	C2orf40	NA
TSHZ3	TSHZ3	NA
PRR16	PRR16	NA
C11orf16	C11orf16	NA
SLC7A3	SLC7A3	NA
ATP5PO	ATP5PO	NA
IL13RA2	IL13RA2	NA
NAALAD2	NAALAD2	NA
MAFF	MAFF	NA
FAM169B	FAM169B	NA
TCTEX1D4	TCTEX1D4	NA
SIGLEC8	SIGLEC8	NA
SIGLEC12	SIGLEC12	NA
SIGLEC7	SIGLEC7	NA
SIGLEC9	SIGLEC9	NA
TDO2	TDO2	NA
KRT9	KRT9	NA
WNT3	WNT3	NA
P2RX5-TAX1BP3	P2RX5-TAX1BP3	NA
P2RX5	P2RX5	NA
MBP	MBP	NA
GSTT2	GSTT2	NA
GSTT2B	GSTT2B	NA
OTOS	OTOS	NA
DTHD1	DTHD1	NA
TCF7L2	TCF7L2	NA
CLEC1A	CLEC1A	NA
ANLN	ANLN	NA
GAMT	GAMT	NA
NUF2	NUF2	NA
PTPN6	PTPN6	NA
ACE2	ACE2	NA
EMP3	EMP3	NA
NXPH3	NXPH3	NA
TDRD5	TDRD5	NA
FOXC1	FOXC1	NA
ZCCHC18	ZCCHC18	NA
ZCCHC12	ZCCHC12	NA
PEAR1	PEAR1	NA
SOSTDC1	SOSTDC1	NA
KCP	KCP	NA
MYCT1	MYCT1	NA
NR2F2	NR2F2	NA
NFATC4	NFATC4	NA
GGTLC2	GGTLC2	NA
GGT2	GGT2	NA
GGTLC1	GGTLC1	NA
GGT1	GGT1	NA
GGTLC3	GGTLC3	NA
ADAMTS16	ADAMTS16	NA
UBA7	UBA7	NA
HVCN1	HVCN1	NA
TMEM114	TMEM114	NA
SPAG17	SPAG17	NA
BMX	BMX	NA
E2F8	E2F8	NA
ASPM	ASPM	NA
CD86	CD86	NA
DIAPH3	DIAPH3	NA
MASTL	MASTL	NA
ANXA4	ANXA4	NA
EGR4	EGR4	NA
SEMA3F	SEMA3F	NA
FGF16	FGF16	NA
TMEM255A	TMEM255A	NA
ITGB4	ITGB4	NA
SCN7A	SCN7A	NA
SLC12A6	SLC12A6	NA
TMEM72	TMEM72	NA
TRAF3IP3	TRAF3IP3	NA
CD163	CD163	NA
KCNH8	KCNH8	NA
COL15A1	COL15A1	NA
ENDOG	ENDOG	NA
DLX5	DLX5	NA
CXCR4	CXCR4	NA
GPAT3	GPAT3	NA
TSC22D3	TSC22D3	NA
DDIT4L	DDIT4L	NA
TTC29	TTC29	NA
DGCR6	DGCR6	NA
DGCR6L	DGCR6L	NA
RIN3	RIN3	NA
SLC13A1	SLC13A1	NA
MRC2	MRC2	NA
ADGRV1	ADGRV1	NA
SLC25A34	SLC25A34	NA
NLRP6	NLRP6	NA
PPP1R1B	PPP1R1B	NA
NECTIN4	NECTIN4	NA
C1QTNF3-AMACR	C1QTNF3-AMACR	NA
C1QTNF3	C1QTNF3	NA
RAD51B	RAD51B	NA
BNC2	BNC2	NA
PBX3	PBX3	NA
GOLGA8J	GOLGA8J	NA
GOLGA8M	GOLGA8M	NA
GOLGA6B	GOLGA6B	NA
GOLGA8G	GOLGA8G	NA
GOLGA8Q	GOLGA8Q	NA
GOLGA8R	GOLGA8R	NA
GOLGA8T	GOLGA8T	NA
GOLGA6A	GOLGA6A	NA
GOLGA8A	GOLGA8A	NA
GOLGA8S	GOLGA8S	NA
GOLGA8B	GOLGA8B	NA
GOLGA8H	GOLGA8H	NA
KIRREL2	KIRREL2	NA
ADRA1B	ADRA1B	NA
ENPP1	ENPP1	NA
CCL15-CCL14	CCL15-CCL14	NA
CCL15	CCL15	NA
CCL23	CCL23	NA
ARHGAP30	ARHGAP30	NA
ADAMTS1	ADAMTS1	NA
TREM2	TREM2	NA
TUBA1C	TUBA1C	NA
PALM2	PALM2	NA
MORN3	MORN3	NA
PARP9	PARP9	NA
MYL9	MYL9	NA
MYPN	MYPN	NA
ITGB2	ITGB2	NA
LRP2	LRP2	NA
SSX4	SSX4	NA
SSX4B	SSX4B	NA
ALOX15B	ALOX15B	NA
TYMS	TYMS	NA
ALOXE3	ALOXE3	NA
TRPC7	TRPC7	NA
FCER1G	FCER1G	NA
WAS	WAS	NA
NECAB1	NECAB1	NA
TFCP2L1	TFCP2L1	NA
DYNLRB2	DYNLRB2	NA
NMBR	NMBR	NA
MISP3	MISP3	NA
TMEM163	TMEM163	NA
NPTX2	NPTX2	NA
RESP18	RESP18	NA
LPAR1	LPAR1	NA
MNDA	MNDA	NA
DSP	DSP	NA
SP140	SP140	NA
CHRM2	CHRM2	NA
C6orf10	C6orf10	NA
FXYD2	FXYD2	NA
FXYD6-FXYD2	FXYD6-FXYD2	NA
DLX2	DLX2	NA
TAP2	TAP2	NA
TOGARAM2	TOGARAM2	NA
INSC	INSC	NA
GJC2	GJC2	NA
IP6K3	IP6K3	NA
PDE11A	PDE11A	NA
MBOAT1	MBOAT1	NA
EIF4EBP1	EIF4EBP1	NA
SYTL5	SYTL5	NA
PLEKHG6	PLEKHG6	NA
MYO5C	MYO5C	NA
GPSM3	GPSM3	NA
B3GNT9	B3GNT9	NA
UBE2C	UBE2C	NA
KDM7A	KDM7A	NA
TYROBP	TYROBP	NA
HHIP	HHIP	NA
RRM2	RRM2	NA
ERMN	ERMN	NA
PROM1	PROM1	NA
CCHCR1	CCHCR1	NA
TRIM34	TRIM34	NA
TRIM6-TRIM34	TRIM6-TRIM34	NA
CNTN5	CNTN5	NA
CD22	CD22	NA
CTSS	CTSS	NA
GPC3	GPC3	NA
MS4A7	MS4A7	NA
ARHGAP25	ARHGAP25	NA
VIM	VIM	NA
ASB2	ASB2	NA
AGT	AGT	NA
ST8SIA2	ST8SIA2	NA
GJB1	GJB1	NA
KLHL35	KLHL35	NA
JMJD7-PLA2G4B	JMJD7-PLA2G4B	NA
PLA2G4B	PLA2G4B	NA
CDH19	CDH19	NA
SOX11	SOX11	NA
PROKR2	PROKR2	NA
NINJ2	NINJ2	NA
EFNA5	EFNA5	NA
FCGR1B	FCGR1B	NA
FCGR1A	FCGR1A	NA
BMP7	BMP7	NA
POPDC3	POPDC3	NA
BEST3	BEST3	NA
TBC1D2	TBC1D2	NA
BHMT	BHMT	NA
PLA2G4E	PLA2G4E	NA
RASAL3	RASAL3	NA
C9orf16	C9orf16	NA
TCF15	TCF15	NA
SLC27A3	SLC27A3	NA
C11orf94	C11orf94	NA
INS	INS	NA
SYT2	SYT2	NA
SOX4	SOX4	NA
PRX	PRX	NA
KY	KY	NA
CHODL	CHODL	NA
CYP26A1	CYP26A1	NA
SEC14L5	SEC14L5	NA
RBP4	RBP4	NA
RIMS3	RIMS3	NA
HPR	HPR	NA
HP	HP	NA
CLEC2D	CLEC2D	NA
KIF2C	KIF2C	NA
PIK3CG	PIK3CG	NA
