"","Gene","modulesA1"
"345","DCAF12L2","grey"
"346","C1QTNF7","green"
"347","NXPH2","grey"
"348","PLEKHF1","grey"
"349","CRYGN","grey"
"350","COL6A5","grey"
"351","DNMT3B","grey"
"352","MYL4","grey"
"353","ALOX12B","grey"
"354","CALB2","red"
"355","CILP2","grey"
"356","RNF213","brown"
"357","CNGB1","grey"
"358","LOX","grey"
"359","HSPB1","grey"
"360","WDR49","cyan"
"361","PTPRC","yellow"
"362","VWA5B1","grey"
"363","TRIM14","yellow"
"364","ADGRF2","grey"
"365","ZC3HAV1","yellow"
"366","PROM2","yellow"
"367","DEPDC7","grey"
"368","PDE6C","grey"
"369","DBH","grey"
"370","AHNAK2","grey"
"371","HAPLN2","magenta"
"372","GBP6","grey"
"373","PTH2R","blue"
"374","TBC1D10C","grey"
"375","TACR3","green"
"376","NKX2-1","red"
"377","IER2","salmon"
"378","PPL","grey"
"379","ADAMTS13","grey"
"380","WDR86","grey"
"381","LYVE1","grey"
"382","BTN2A2","grey"
"383","PLXDC1","blue"
"384","CLCF1","grey"
"385","LST1","grey"
"386","PIDD1","grey"
"387","SAMD9L","yellow"
"388","SP7","turquoise"
"389","RNF17","grey"
"390","ALPK2","tan"
"391","CD4","grey"
"392","LRRC74B","cyan"
"393","TEX13D","greenyellow"
"394","TEX13C","greenyellow"
"395","ERVW-1","grey"
"396","MAL","turquoise"
"397","DNAH11","cyan"
"398","KCNK5","grey"
"399","FRMPD2","cyan"
"400","CASQ1","grey"
"401","KCNA5","grey"
"402","TTC16","grey"
"403","TNFSF13B","grey"
"404","SERPINE1","grey"
"405","TACR1","grey"
"406","THBS4","grey"
"407","COL23A1","green"
"408","PDZD3","grey"
"409","TRDN","grey"
"410","TTLL6","grey"
"411","NTS","grey"
"412","CYP26B1","greenyellow"
"413","ANKRD66","cyan"
"414","C7orf57","grey"
"415","C22orf15","grey"
"416","IL36G","grey"
"417","TRPM6","grey"
"418","TMPRSS11A","grey"
"419","GPR6","blue"
"420","GPR50","grey"
"421","UNC13C","blue"
"422","LIN28B","grey"
"423","ADAMTS18","grey"
"424","DNAH7","grey"
"425","SLC38A5","grey"
"426","GHRL","brown"
"427","FABP7","turquoise"
"428","APOC1","grey"
"429","FREM3","grey"
"430","ECT2","grey"
"431","ARL4D","grey"
"432","MAP4K1","grey"
"433","NUPR1","black"
"434","PRPH","blue"
"435","CHN2","grey"
"436","EYA2","black"
"437","TBX15","grey"
"438","UCMA","grey"
"439","F13A1","grey"
"440","AP1M2","grey"
"441","LRRC36","cyan"
"442","CD48","yellow"
"443","SSPO","turquoise"
"444","TM6SF2","grey"
"445","TMIE","grey"
"446","GCNT4","blue"
"447","ADAMTS12","grey"
"448","SPATA18","cyan"
"449","CNMD","grey"
"450","ZNF704","brown"
"451","OTOF","grey"
"452","EFEMP1","grey"
"453","ACAP1","cyan"
"454","ISG20","grey"
"455","IL1RAPL2","blue"
"456","RGS16","grey"
"457","NCF1","grey"
"458","HEXB","grey"
"459","TLR1","grey"
"460","CNN1","black"
"461","MYLK3","greenyellow"
"462","DRD1","blue"
"463","E2F2","grey"
"464","MPP4","grey"
"465","BMP4","grey"
"466","GLIS1","pink"
"467","DES","grey"
"468","PLA1A","grey"
"469","CFAP161","red"
"470","OLFML2A","black"
"471","IL27RA","grey"
"472","XAF1","yellow"
"473","CMKLR1","yellow"
"474","LOXL4","grey"
"475","DNAI2","grey"
"476","RAMP3","grey"
"477","IDE","grey"
"478","FIBIN","black"
"479","EDN1","grey"
"480","ADCYAP1","green"
"481","ALDH3A1","grey"
"482","COL6A2","green"
"483","UNC13D","grey"
"484","ANKUB1","magenta"
"485","GEM","grey"
"486","C9orf116","grey"
"487","PLCH1","blue"
"488","PHF19","grey"
"489","OPRK1","grey"
"490","CENPF","turquoise"
"491","RPGRIP1","grey"
"492","RAC2","grey"
"493","SERPINA12","grey"
"494","KCNIP4","pink"
"495","MUC3A","grey"
"496","NKX6-2","magenta"
"497","CDH3","grey"
"498","TMPRSS7","grey"
"499","STAT5A","grey"
"500","PIK3AP1","grey"
"501","CD300LG","grey"
"502","EHHADH","grey"
"503","PIK3R5","grey"
"504","PHF11","grey"
"505","DNAH6","cyan"
"506","PRDM1","grey"
"507","VAX1","red"
"508","TRIM13","grey"
"509","NRG4","grey"
"510","CD209","grey"
"511","C6orf222","green"
"512","LY6G6F","grey"
"513","RARRES2","cyan"
"514","CD274","grey"
"515","TSPAN11","grey"
"516","IGSF9","grey"
"517","FYB1","grey"
"518","ZNF366","grey"
"519","BMP3","blue"
"520","SLC6A19","grey"
"521","C3orf62","grey"
"522","NIPAL4","turquoise"
"523","FAM166B","grey"
"524","EN2","grey"
"525","CALCR","red"
"526","ODF3B","cyan"
"527","SNTN","cyan"
"528","TBX3","grey"
"529","FST","grey"
"530","EQTN","grey"
"531","B3GNT5","grey"
"532","CES5A","grey"
"533","EVA1B","grey"
"534","CHST3","turquoise"
"535","FSIP1","grey"
"536","REEP3","grey"
"537","TAP1","yellow"
"538","TCAF2","grey"
"539","TCAF2C","grey"
"540","UNC5CL","grey"
"541","ESR1","green"
"542","TTF2","grey"
"543","SNAI2","grey"
"544","UPK1A","grey"
"545","OCA2","grey"
"546","C5AR2","grey"
"547","NID1","grey"
"548","NLRC5","grey"
"549","CPED1","black"
"550","SNORD104","grey"
"551","NEIL3","grey"
"552","OAS2","yellow"
"553","RTL3","grey"
"554","KIF19","turquoise"
"555","TMEM91","grey"
"556","KIF11","grey"
"557","GABRE","grey"
"558","KRT2","grey"
"559","GRB7","blue"
"560","SLC6A20","black"
"561","ACP7","green"
"562","C7","grey"
"563","THBS1","grey"
"564","FHOD3","blue"
"565","TMEM102","grey"
"566","TBX18","black"
"567","TMEM267","grey"
"568","PLP1","turquoise"
"569","FAM47E","grey"
"570","FAM47E-STBD1","grey"
"571","LSP1","yellow"
"572","C2orf73","grey"
"573","DAPK2","grey"
"574","RASSF6","grey"
"575","CDKN1A","grey"
"576","HMGCS2","grey"
"577","SPSB2","grey"
"578","SERPING1","black"
"579","CARD14","grey"
"580","ARPC1B","turquoise"
"581","ASB14","grey"
"582","SLCO4A1","grey"
"583","C17orf97","grey"
"584","SLC4A11","grey"
"585","AOC3","grey"
"586","KBTBD6","grey"
"587","KBTBD7","grey"
"588","CACNA2D4","turquoise"
"589","BCL6B","grey"
"590","GLRA3","blue"
"591","PARP14","yellow"
"592","CRH","grey"
"593","BTG2","salmon"
"594","FBLN2","grey"
"595","RANBP3L","black"
"596","RAD51AP2","grey"
"597","PTAR1","brown"
"598","LIPH","grey"
"599","RGS22","red"
"600","ALOX5","grey"
"601","OR10H4","grey"
"602","OR10H3","grey"
"603","NHLH2","turquoise"
"604","PNPLA1","grey"
"605","EXOC3L4","grey"
"606","ACR","grey"
"607","C2","grey"
"608","ALDH3B2","grey"
"609","TBX6","grey"
"610","OR10H1","grey"
"611","OR10H5","grey"
"612","OR10H2","grey"
"613","AK8","grey"
"614","MOG","turquoise"
"615","REC8","grey"
"616","SHCBP1","grey"
"617","CCDC187","red"
"618","NXPH4","grey"
"619","ZAN","grey"
"620","PTGDR","grey"
"621","RDH16","grey"
"622","TSPAN2","turquoise"
"623","MPZL2","black"
"624","HIST1H1E","grey"
"625","ATP2C2","grey"
"626","CCDC170","cyan"
"627","SPX","grey"
"628","CFAP58","grey"
"629","TPBG","green"
"630","CRABP1","grey"
"631","WNK3","brown"
"632","CDC6","grey"
"633","TMPRSS6","grey"
"634","USP18","yellow"
"635","USP41","yellow"
"636","SLFN11","grey"
"637","SLFN13","grey"
"638","ANKH","grey"
"639","CKAP2","turquoise"
"640","NEK5","grey"
"641","LEMD1","blue"
"642","SATB2","blue"
"643","RXRG","green"
"644","EVA1C","grey"
"645","WNT9A","grey"
"646","IL23A","turquoise"
"647","LPO","grey"
"648","CES1","red"
"649","CLEC3B","grey"
"650","IL11","grey"
"651","HCAR1","black"
"652","HENMT1","grey"
"653","ERICH5","yellow"
"654","GLP2R","grey"
"655","SLC22A18","grey"
"656","PTGER3","blue"
"657","ZNF296","grey"
"658","MYH7","grey"
"659","SH3RF2","grey"
"660","C5","grey"
"661","ZC3H7A","grey"
"662","WDR72","grey"
"663","ALPK3","grey"
"664","FGFBP1","black"
"665","SUSD3","grey"
"666","AUNIP","grey"
"667","CXCL16","yellow"
"668","LRRC8A","grey"
"669","PTPRH","grey"
"670","TNS4","grey"
"671","DDT","grey"
"672","DDTL","grey"
"673","SCN4B","blue"
"674","DND1","grey"
"675","SLC35E2B","brown"
"676","NRL","grey"
"677","SOX18","grey"
"678","NUP62CL","grey"
"679","KIF20A","grey"
"680","ZFHX3","red"
"681","PRSS16","grey"
"682","TEX11","grey"
"683","KLF2","salmon"
"684","TRIM16","grey"
"685","TRIM16L","grey"
"686","PTPN20","grey"
"687","CITED4","grey"
"688","TEX26","grey"
"689","PTGFR","black"
"690","CCKBR","blue"
"691","DMKN","grey"
"692","RAB37","grey"
"693","CKS2","grey"
"694","CHRDL1","grey"
"695","PLA2G2F","grey"
"696","C6orf118","grey"
"697","MEIOC","grey"
"698","HLA-DOB","yellow"
"699","HYDIN","cyan"
"700","PIFO","grey"
"701","PIP5KL1","grey"
"702","PRKG2","grey"
"703","TCF19","grey"
"704","VEGFD","green"
"705","ADAMTSL4","magenta"
"706","SLC15A3","yellow"
"707","SPINT1","grey"
"708","GOT1L1","grey"
"709","BHMT2","grey"
"710","CFAP52","grey"
"711","TMEM210","grey"
"712","TMEM125","turquoise"
"713","PSMB9","grey"
"714","MRC1","black"
"715","WISP1","grey"
"716","STIL","turquoise"
"717","MKI67","greenyellow"
"718","PKHD1L1","grey"
"719","CCNA1","grey"
"720","MT-CO2","grey"
"721","TWIST2","grey"
"722","FSCN2","grey"
"723","DRC7","grey"
"724","TTC22","grey"
"725","EXPH5","grey"
"726","TOR4A","grey"
"727","COX4I2","grey"
"728","OR10AD1","grey"
"729","TLR2","grey"
"730","RNF223","grey"
"731","MED13","brown"
"732","NR4A1","salmon"
"733","BTAF1","grey"
"734","RILP","grey"
"735","SRCAP","grey"
"736","CYTL1","grey"
"737","ARHGEF37","grey"
"738","RHO","grey"
"739","PYCARD","grey"
"740","CFAP126","grey"
"741","MALL","grey"
"742","CRYBB1","grey"
"743","MAPK15","grey"
"744","GDF9","grey"
"745","NPSR1","blue"
"746","NRSN2","grey"
"747","LRRC43","grey"
"748","ADGRG6","grey"
"749","WDR93","grey"
"750","UBE2L6","grey"
"751","CD6","grey"
"752","WNT10A","grey"
"753","BMP5","grey"
"754","SGK2","turquoise"
"755","CFAP43","cyan"
"756","SLC22A3","grey"
"757","GALNT5","grey"
"758","SFN","grey"
"759","CFAP77","cyan"
"760","TECTA","grey"
"761","MAP3K6","grey"
"762","KIF23","red"
"763","NGFR","blue"
"764","KREMEN2","grey"
"765","GINS1","grey"
"766","VIPR2","grey"
"767","MYO1G","grey"
"768","CORO6","blue"
"769","RNF125","grey"
"770","HDC","grey"
"771","NOSTRIN","grey"
"772","ZNF648","blue"
"773","GLRA2","red"
"774","TAOK1","brown"
"775","LHFPL1","grey"
"776","KLHL1","grey"
"777","SVEP1","yellow"
"778","BMF","grey"
"779","LRRD1","grey"
"780","STOML3","grey"
"781","LRRN4","grey"
"782","BCL3","grey"
"783","CCDC113","grey"
"784","PRR5","grey"
"785","HAS1","grey"
"786","CNTNAP3B","blue"
"787","CNTNAP3C","blue"
"788","CNTNAP3","blue"
"789","GNG8","grey"
"790","FAM104B","grey"
"791","TSTD1","grey"
"792","ARHGAP9","grey"
"793","SAG","grey"
"794","CRYBB3","grey"
"795","LNPEP","brown"
"796","HLA-DMB","grey"
"797","ZBTB7C","red"
"798","MUC6","grey"
"799","EDA2R","grey"
"800","LUM","black"
"801","CHP2","grey"
"802","TC2N","grey"
"803","CD248","grey"
"804","TTC34","grey"
"805","OSMR","yellow"
"806","TRPC3","red"
"807","HCN4","grey"
"808","CLSPN","grey"
"809","TMPRSS9","grey"
"810","IRGM","yellow"
"811","TNFRSF11B","grey"
"812","CCDC33","grey"
"813","COL28A1","grey"
"814","LRRC9","red"
"815","RHCG","grey"
"816","IL21R","grey"
"817","KAZALD1","grey"
"818","SLC16A3","grey"
"819","EPHX4","grey"
"820","FBLIM1","grey"
"821","CYP27B1","grey"
"822","PCP4","grey"
"823","MLPH","yellow"
"824","EFCAB10","grey"
"825","HEYL","grey"
"826","RBM46","grey"
"827","ANPEP","black"
"828","MEI1","blue"
"829","NEXN","grey"
"830","STKLD1","grey"
"831","PKD2L1","grey"
"832","STAG3","grey"
"833","SLC36A2","grey"
"834","BRCA1","grey"
"835","JCHAIN","grey"
"836","NKX3-1","grey"
"837","PLA2G5","grey"
"838","PLIN5","grey"
"839","SPATA32","grey"
"840","STPG2","grey"
"841","PDLIM2","turquoise"
"842","C2orf80","grey"
"843","IFNLR1","grey"
"844","ENKUR","cyan"
"845","GLI1","grey"
"846","KRT1","grey"
"847","MEIS1","grey"
"848","COCH","grey"
"849","CEACAM16","grey"
"850","AKR1B10","grey"
"851","PYCR1","grey"
"852","SFRP5","grey"
"853","OTOGL","grey"
"854","PCSK9","grey"
"855","CLEC9A","grey"
"856","LRRC69","grey"
"857","H1FX","grey"
"858","LY96","grey"
"859","S100A3","grey"
"860","CHEK1","grey"
"861","PRR11","grey"
"862","CISH","grey"
"863","KCTD14","grey"
"864","HS3ST3B1","grey"
"865","GPR153","red"
"866","GALR1","grey"
"867","GPNMB","yellow"
"868","SLC35B4","grey"
"869","TWIST1","grey"
"870","FAM81B","grey"
"871","SUSD2","grey"
"872","ELF4","grey"
"873","FIGN","grey"
"874","CD36","grey"
"875","MUSTN1","black"
"876","TBXA2R","grey"
"877","CAPG","yellow"
"878","GRID2IP","red"
"879","BBOX1","grey"
"880","BFSP1","grey"
"881","MYH8","grey"
"882","ESPL1","grey"
"883","ZIC2","red"
"884","TNFAIP8L2","grey"
"885","ATG9B","green"
"886","SAPCD2","grey"
"887","HRH1","blue"
"888","GPR139","grey"
"889","PMEL","grey"
"890","SYTL1","grey"
