"","GeneL","modulesA1L"
"233","C11orf97","MsAge7K_14"
"234","SEMA3A","MsAge7K_02"
"235","CA13","MsAge7K_07"
"236","PEG10","MsAge7K_06"
"237","ADAMTSL3","MsAge7K_07"
"238","NPFFR1","MsAge7K_06"
"239","DNAH12","MsAge7K_14"
"240","IL12RB1","MsAge7K_01"
"241","DNALI1","MsAge7K_14"
"242","DNAH10","MsAge7K_14"
"243","NEUROG2","MsAge7K_01"
"244","MOBP","MsAge7K_01"
"245","MYO3B","MsAge7K_00"
"246","RSPO1","MsAge7K_00"
"247","PAPLN","MsAge7K_00"
"248","RTP1","MsAge7K_00"
"249","CLDN11","MsAge7K_01"
"250","ZNF804B","MsAge7K_08"
"251","PI16","MsAge7K_00"
"252","AK7","MsAge7K_14"
"253","SGK1","MsAge7K_00"
"254","EFCAB13","MsAge7K_00"
"255","MGMT","MsAge7K_00"
"256","CHRM5","MsAge7K_00"
"257","SLITRK6","MsAge7K_00"
"258","SLC15A2","MsAge7K_00"
"259","OSR1","MsAge7K_07"
"260","FAT2","MsAge7K_00"
"261","SHOX2","MsAge7K_00"
"262","KLF5","MsAge7K_02"
"263","GKN3P","MsAge7K_00"
"264","CLDN1","MsAge7K_00"
"265","ANGPTL4","MsAge7K_00"
"266","RASSF10","MsAge7K_01"
"267","LHX1","MsAge7K_06"
"268","NPBWR1","MsAge7K_00"
"269","STYK1","MsAge7K_00"
"270","RECQL4","MsAge7K_00"
"271","GALR2","MsAge7K_00"
"272","DDX60","MsAge7K_04"
"273","ICAM1","MsAge7K_00"
"274","ANXA1","MsAge7K_00"
"275","CYP1B1","MsAge7K_07"
"276","L3MBTL4","MsAge7K_00"
"277","DMGDH","MsAge7K_02"
"278","SLC5A7","MsAge7K_06"
"279","ENDOU","MsAge7K_00"
"280","NNMT","MsAge7K_00"
"281","LGALS3","MsAge7K_00"
"282","C3AR1","MsAge7K_04"
"283","MYO9A","MsAge7K_03"
"284","ATF3","MsAge7K_00"
"285","VWF","MsAge7K_07"
"286","SLC26A7","MsAge7K_07"
"287","GPR182","MsAge7K_07"
"288","ANO1","MsAge7K_06"
"289","ITGAL","MsAge7K_00"
"290","AQP1","MsAge7K_00"
"291","COL1A2","MsAge7K_00"
"292","SLC17A6","MsAge7K_02"
"293","BUB1B","MsAge7K_00"
"294","ZIC5","MsAge7K_06"
"295","PIEZO2","MsAge7K_00"
"296","CARTPT","MsAge7K_00"
"297","SLC13A3","MsAge7K_07"
"298","GJB2","MsAge7K_07"
"299","OR2AK2","MsAge7K_05"
"300","DHX58","MsAge7K_00"
"301","CASR","MsAge7K_01"
"302","DUSP1","MsAge7K_13"
"303","KCNE2","MsAge7K_00"
"304","AEBP1","MsAge7K_07"
"305","TNFRSF8","MsAge7K_00"
"306","ELN","MsAge7K_00"
"307","CLDN2","MsAge7K_00"
"308","COL9A1","MsAge7K_00"
"309","NME9","MsAge7K_14"
"310","GABRR2","MsAge7K_00"
"311","SCTR","MsAge7K_00"
"312","TNNI3K","MsAge7K_05"
"313","FPGT-TNNI3K","MsAge7K_05"
