"","CellType_Vs_Others","MsGene"
"CAMSAP1","NeuronByothersCuffdiff2FCover20","Camsap1"
"CAMSAP2","NeuronByothersCuffdiff2FCover20","Camsap2"
"CAMSAP3","NeuronByothersCuffdiff2FCover20","Camsap3"
"CAMTA1","NeuronByothersCuffdiff2FCover20","Camta1"
"CANT1","MicrogliByothersCuffdiff2FCover20","Cant1"
"CAP2","AstroByothersCuffdiff2FCover20","Cap2"
"CAPG","MicrogliByothersCuffdiff2FCover20","Capg"
"CAPN1","MicrogliByothersCuffdiff2FCover20","Capn1"
"CAPN11","AstroByothersCuffdiff2FCover20","Capn11"
"CAPN3","MicrogliByothersCuffdiff2FCover20","Capn3"
"CAPNS1","MicrogliByothersCuffdiff2FCover20","Capns1"
"CAPSL","AstroByothersCuffdiff2FCover20","Capsl"
"CAPZA2","EndotheByothersCuffdiff2FCover20","Capza2"
"CA10","NeuronByothersCuffdiff2FCover20","Car10"
"CA11","PreOligoByothersCuffdiff2FCover20","Car11"
"CA14","MyeOligoByothersCuffdiff2FCover20","Car14"
"CA4","EndotheByothersCuffdiff2FCover20","Car4"
"CA9","MicrogliByothersCuffdiff2FCover20","Car9"
"CARD10","EndotheByothersCuffdiff2FCover20","Card10"
"CARD11","MicrogliByothersCuffdiff2FCover20","Card11"
"CARD9","MicrogliByothersCuffdiff2FCover20","Card9"
"CARMIL3","NeuronByothersCuffdiff2FCover20","Carmil3"
"CARNS1","MyeOligoByothersCuffdiff2FCover20","Carns1"
"CARS","MicrogliByothersCuffdiff2FCover20","Cars"
"CASP12","EndotheByothersCuffdiff2FCover20","Casp12"
"CASQ2","EndotheByothersCuffdiff2FCover20","Casq2"
"CASR","NewOligoByothersCuffdiff2FCover20","Casr"
"CASS4","MicrogliByothersCuffdiff2FCover20","Cass4"
"CAST","EndotheByothersCuffdiff2FCover20","Cast"
"CAV1","EndotheByothersCuffdiff2FCover20","Cav1"
"CAVIN1","EndotheByothersCuffdiff2FCover20","Cavin1"
"CAVIN2","EndotheByothersCuffdiff2FCover20","Cavin2"
"CBFA2T2","NeuronByothersCuffdiff2FCover20","Cbfa2t2"
"CBFB","PreOligoByothersCuffdiff2FCover20","Cbfb"
"CBL","MicrogliByothersCuffdiff2FCover20","Cbl"
"CBLN4","NeuronByothersCuffdiff2FCover20","Cbln4"
"CBS","AstroByothersCuffdiff2FCover20","Cbs"
"CBSL","AstroByothersCuffdiff2FCover20","Cbs"
"CCAR1","NeuronByothersCuffdiff2FCover20","Ccar1"
"CCBE1","NeuronByothersCuffdiff2FCover20","Ccbe1"
"CCDC106","NewOligoByothersCuffdiff2FCover20","Ccdc106"
"CCDC107","AstroByothersCuffdiff2FCover20","Ccdc107"
"CCDC125","EndotheByothersCuffdiff2FCover20","Ccdc125"
"CCDC137","MyeOligoByothersCuffdiff2FCover20","Ccdc137"
"CCDC141","EndotheByothersCuffdiff2FCover20","Ccdc141"
"CCDC149","NeuronByothersCuffdiff2FCover20","Ccdc149"
"CCDC190","AstroByothersCuffdiff2FCover20","Ccdc190"
"CCDC28A","MyeOligoByothersCuffdiff2FCover20","Ccdc28a"
"CCDC47","NeuronByothersCuffdiff2FCover20","Ccdc47"
"CCDC6","EndotheByothersCuffdiff2FCover20","Ccdc6"
"CCDC80","AstroByothersCuffdiff2FCover20","Ccdc80"
"CCDC85A","EndotheByothersCuffdiff2FCover20","Ccdc85a"
"CCDC88B","MicrogliByothersCuffdiff2FCover20","Ccdc88b"
"CCK","NeuronByothersCuffdiff2FCover20","Cck"
"CCL8","MicrogliByothersCuffdiff2FCover20","Ccl12"
"CCL2","MicrogliByothersCuffdiff2FCover20","Ccl2"
"CCL22","MicrogliByothersCuffdiff2FCover20","Ccl22"
"CCL24","MicrogliByothersCuffdiff2FCover20","Ccl24"
"CCL27","NeuronByothersCuffdiff2FCover20","Ccl27a"
"CCL3L1","MicrogliByothersCuffdiff2FCover20","Ccl3"
"CCL3L3","MicrogliByothersCuffdiff2FCover20","Ccl3"
"CCL18","MicrogliByothersCuffdiff2FCover20","Ccl3"
"CCL3","MicrogliByothersCuffdiff2FCover20","Ccl3"
"CCL4L2","MicrogliByothersCuffdiff2FCover20","Ccl4"
"CCL4","MicrogliByothersCuffdiff2FCover20","Ccl4"
"CCL5","MicrogliByothersCuffdiff2FCover20","Ccl5"
"CCL23","MicrogliByothersCuffdiff2FCover20","Ccl6"
"CCL15","MicrogliByothersCuffdiff2FCover20","Ccl6"
"CCL15-CCL14","MicrogliByothersCuffdiff2FCover20","Ccl6"
"CCL7","MicrogliByothersCuffdiff2FCover20","Ccl7"
"CCL26","MicrogliByothersCuffdiff2FCover20","Ccl8"
"CCM2","MicrogliByothersCuffdiff2FCover20","Ccm2"
"CCM2L","EndotheByothersCuffdiff2FCover20","Ccm2l"
"CCNA1","AstroByothersCuffdiff2FCover20","Ccna1"
"CCND3","MicrogliByothersCuffdiff2FCover20","Ccnd3"
"CCNL1","AstroByothersCuffdiff2FCover20","Ccnl1"
"CCNO","AstroByothersCuffdiff2FCover20","Ccno"
"CCP110","NewOligoByothersCuffdiff2FCover20","Ccp110"
"CCR1","MicrogliByothersCuffdiff2FCover20","Ccr1"
"CCR2","MicrogliByothersCuffdiff2FCover20","Ccr2"
"CCR5","MicrogliByothersCuffdiff2FCover20","Ccr5"
"CCR6","MicrogliByothersCuffdiff2FCover20","Ccr6"
"CCR7","MicrogliByothersCuffdiff2FCover20","Ccr7"
"CCRL2","MicrogliByothersCuffdiff2FCover20","Ccrl2"
"CCSER1","EndotheByothersCuffdiff2FCover20","Ccser1"
"CCSER2","NeuronByothersCuffdiff2FCover20","Ccser2"
"CD101","MicrogliByothersCuffdiff2FCover20","Cd101"
"CD109","EndotheByothersCuffdiff2FCover20","Cd109"
"CD14","MicrogliByothersCuffdiff2FCover20","Cd14"
"CD151","MyeOligoByothersCuffdiff2FCover20","Cd151"
"CD163","MicrogliByothersCuffdiff2FCover20","Cd163"
"CD180","MicrogliByothersCuffdiff2FCover20","Cd180"
"CD19","MicrogliByothersCuffdiff2FCover20","Cd19"
"CD1D","NeuronByothersCuffdiff2FCover20","Cd1d1"
"CD2","MicrogliByothersCuffdiff2FCover20","Cd2"
"CD200","EndotheByothersCuffdiff2FCover20","Cd200"
"CD200R1L","MicrogliByothersCuffdiff2FCover20","Cd200r1"
"CD200R1","MicrogliByothersCuffdiff2FCover20","Cd200r1"
"CD209","MicrogliByothersCuffdiff2FCover20","Cd209a"
"CD22","MicrogliByothersCuffdiff2FCover20","Cd22"
"CD247","MicrogliByothersCuffdiff2FCover20","Cd247"
"CD27","EndotheByothersCuffdiff2FCover20","Cd27"
"CD274","NeuronByothersCuffdiff2FCover20","Cd274"
"CD276","PreOligoByothersCuffdiff2FCover20","Cd276"
"CD2BP2","MicrogliByothersCuffdiff2FCover20","Cd2bp2"
"CD300C","MicrogliByothersCuffdiff2FCover20","Cd300c2"
"CD300LB","MicrogliByothersCuffdiff2FCover20","Cd300lb"
"CD300LF","MicrogliByothersCuffdiff2FCover20","Cd300ld"
"CD34","EndotheByothersCuffdiff2FCover20","Cd34"
"CD36","MicrogliByothersCuffdiff2FCover20","Cd36"
"CD37","MicrogliByothersCuffdiff2FCover20","Cd37"
"CD3D","MicrogliByothersCuffdiff2FCover20","Cd3d"
"CD4","MicrogliByothersCuffdiff2FCover20","Cd4"
"CD40","EndotheByothersCuffdiff2FCover20","Cd40"
"CD44","AstroByothersCuffdiff2FCover20","Cd44"
"CD47","NeuronByothersCuffdiff2FCover20","Cd47"
"CD48","MicrogliByothersCuffdiff2FCover20","Cd48"
"CD5","MicrogliByothersCuffdiff2FCover20","Cd5"
"CD52","MicrogliByothersCuffdiff2FCover20","Cd52"
"CD53","MicrogliByothersCuffdiff2FCover20","Cd53"
"CD59","EndotheByothersCuffdiff2FCover20","Cd59a"
"CD6","MicrogliByothersCuffdiff2FCover20","Cd6"
"CD69","EndotheByothersCuffdiff2FCover20","Cd69"
"CD7","MicrogliByothersCuffdiff2FCover20","Cd7"
"CD72","MicrogliByothersCuffdiff2FCover20","Cd72"
"CD74","MicrogliByothersCuffdiff2FCover20","Cd74"
"CD79A","MicrogliByothersCuffdiff2FCover20","Cd79a"
"CD79B","MicrogliByothersCuffdiff2FCover20","Cd79b"
"CD80","MicrogliByothersCuffdiff2FCover20","Cd80"
"CD82","PreOligoByothersCuffdiff2FCover20","Cd82"
"CD83","MicrogliByothersCuffdiff2FCover20","Cd83"
"CD84","MicrogliByothersCuffdiff2FCover20","Cd84"
"CD86","MicrogliByothersCuffdiff2FCover20","Cd86"
"CD93","EndotheByothersCuffdiff2FCover20","Cd93"
"CDC25B","AstroByothersCuffdiff2FCover20","Cdc25b"
"CDC34","EndotheByothersCuffdiff2FCover20","Cdc34"
"CDC42BPA","NeuronByothersCuffdiff2FCover20","Cdc42bpa"
"CDC42EP3","EndotheByothersCuffdiff2FCover20","Cdc42ep3"
"CDC7","MyeOligoByothersCuffdiff2FCover20","Cdc7"
"CDH23","MicrogliByothersCuffdiff2FCover20","Cdh23"
"CDH4","NeuronByothersCuffdiff2FCover20","Cdh4"
"CDH5","EndotheByothersCuffdiff2FCover20","Cdh5"
"CDH7","NeuronByothersCuffdiff2FCover20","Cdh7"
"CDH8","NeuronByothersCuffdiff2FCover20","Cdh8"
"CDH9","NeuronByothersCuffdiff2FCover20","Cdh9"
"CDK6","MicrogliByothersCuffdiff2FCover20","Cdk6"
"CDKL2","NeuronByothersCuffdiff2FCover20","Cdkl2"
"CDKL3","NeuronByothersCuffdiff2FCover20","Cdkl3"
"CDKN1A","MicrogliByothersCuffdiff2FCover20","Cdkn1a"
"CDKN2B","EndotheByothersCuffdiff2FCover20","Cdkn2b"
"CDKN3","EndotheByothersCuffdiff2FCover20","Cdkn3"
"CDS1","MicrogliByothersCuffdiff2FCover20","Cds1"
"PSG3","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM8","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM5","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG5","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG9","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG1","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM3","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG8","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG7","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG2","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM6","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG11","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM1","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG4","EndotheByothersCuffdiff2FCover20","Ceacam1"
"PSG6","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM7","EndotheByothersCuffdiff2FCover20","Ceacam1"
"CEACAM16","NeuronByothersCuffdiff2FCover20","Ceacam16"
"CEBPA","MicrogliByothersCuffdiff2FCover20","Cebpa"
"CEBPB","MicrogliByothersCuffdiff2FCover20","Cebpb"
"CELA1","MicrogliByothersCuffdiff2FCover20","Cela1"
"CELF3","NeuronByothersCuffdiff2FCover20","Celf3"
"CELF4","NeuronByothersCuffdiff2FCover20","Celf4"
"CELF6","NeuronByothersCuffdiff2FCover20","Celf6"
"CELSR1","AstroByothersCuffdiff2FCover20","Celsr1"
"CELSR2","MyeOligoByothersCuffdiff2FCover20","Celsr2"
"CELSR3","NeuronByothersCuffdiff2FCover20","Celsr3"
"CENPA","EndotheByothersCuffdiff2FCover20","Cenpa"
"CENPF","NeuronByothersCuffdiff2FCover20","Cenpf"
"CENPM","PreOligoByothersCuffdiff2FCover20","Cenpm"
"CENPS","MyeOligoByothersCuffdiff2FCover20","Cenps"
"CEP112","NeuronByothersCuffdiff2FCover20","Cep112"
"CEP170","NeuronByothersCuffdiff2FCover20","Cep170"
"CEP170B","NeuronByothersCuffdiff2FCover20","Cep170b"
"CEP250","MicrogliByothersCuffdiff2FCover20","Cep250"
"CEP57","MyeOligoByothersCuffdiff2FCover20","Cep57"
"CEP89","MicrogliByothersCuffdiff2FCover20","Cep89"
"CERS2","MyeOligoByothersCuffdiff2FCover20","Cers2"
"CERS6","NeuronByothersCuffdiff2FCover20","Cers6"
"CES2","EndotheByothersCuffdiff2FCover20","Ces2b"
"CFAP100","AstroByothersCuffdiff2FCover20","Cfap100"
"CFAP44","AstroByothersCuffdiff2FCover20","Cfap44"
"CFAP74","MicrogliByothersCuffdiff2FCover20","Cfap74"
"CFI","EndotheByothersCuffdiff2FCover20","Cfi"
"CFLAR","MicrogliByothersCuffdiff2FCover20","Cflar"
"CGN","NeuronByothersCuffdiff2FCover20","Cgn"
"CGNL1","EndotheByothersCuffdiff2FCover20","Cgnl1"
"CH25H","MicrogliByothersCuffdiff2FCover20","Ch25h"
"CHCHD6","NeuronByothersCuffdiff2FCover20","Chchd6"
"CHCHD7","NeuronByothersCuffdiff2FCover20","Chchd7"
"CHD2","AstroByothersCuffdiff2FCover20","Chd2"
"CHEK2","MicrogliByothersCuffdiff2FCover20","Chek2"
"CHIA","EndotheByothersCuffdiff2FCover20","Chil5"
"CHL1","NeuronByothersCuffdiff2FCover20","Chl1"
"CHN2","MyeOligoByothersCuffdiff2FCover20","Chn2"
"CHODL","NeuronByothersCuffdiff2FCover20","Chodl"
"CHP2","EndotheByothersCuffdiff2FCover20","Chp2"
"CHPT1","NeuronByothersCuffdiff2FCover20","Chpt1"
"CHRDL1","AstroByothersCuffdiff2FCover20","Chrdl1"
"CHRM3","NeuronByothersCuffdiff2FCover20","Chrm3"
"CHRNA3","NeuronByothersCuffdiff2FCover20","Chrna3"
"CHRNB1","EndotheByothersCuffdiff2FCover20","Chrnb1"
"CHRNB2","NeuronByothersCuffdiff2FCover20","Chrnb2"
"CHST12","MicrogliByothersCuffdiff2FCover20","Chst12"
"CHST3","NewOligoByothersCuffdiff2FCover20","Chst3"
"CHST8","NewOligoByothersCuffdiff2FCover20","Chst8"
"CHST9","EndotheByothersCuffdiff2FCover20","Chst9"
"CIART","MicrogliByothersCuffdiff2FCover20","Ciart"
"CKM","MicrogliByothersCuffdiff2FCover20","Ckm"
"CLASP1","NeuronByothersCuffdiff2FCover20","Clasp1"
"CLCF1","MicrogliByothersCuffdiff2FCover20","Clcf1"
"CLDN10","AstroByothersCuffdiff2FCover20","Cldn10"
"CLDN14","MyeOligoByothersCuffdiff2FCover20","Cldn14"
"CLDN5","EndotheByothersCuffdiff2FCover20","Cldn5"
"CLDN6","EndotheByothersCuffdiff2FCover20","Cldn6"
"CLEC12A","MicrogliByothersCuffdiff2FCover20","Clec12a"
"CLEC14A","EndotheByothersCuffdiff2FCover20","Clec14a"
"CLEC16A","NeuronByothersCuffdiff2FCover20","Clec16a"
"CLEC1A","EndotheByothersCuffdiff2FCover20","Clec1a"
"CLEC1B","EndotheByothersCuffdiff2FCover20","Clec1b"
"CLEC2D","MicrogliByothersCuffdiff2FCover20","Clec2i"
"CLEC4A","MicrogliByothersCuffdiff2FCover20","Clec4a1"
"CLEC4C","MicrogliByothersCuffdiff2FCover20","Clec4a2"
"CLEC4D","MicrogliByothersCuffdiff2FCover20","Clec4d"
"CLEC4E","MicrogliByothersCuffdiff2FCover20","Clec4e"
"CLEC6A","MicrogliByothersCuffdiff2FCover20","Clec4n"
"CLEC5A","MicrogliByothersCuffdiff2FCover20","Clec5a"
"CLEC7A","MicrogliByothersCuffdiff2FCover20","Clec7a"
"CLEC9A","EndotheByothersCuffdiff2FCover20","Clec9a"
"CLIC5","EndotheByothersCuffdiff2FCover20","Clic5"
"CLIC6","EndotheByothersCuffdiff2FCover20","Clic6"
"CLIP1","NeuronByothersCuffdiff2FCover20","Clip1"
"CLN3","MicrogliByothersCuffdiff2FCover20","Cln3"
"CLPTM1","EndotheByothersCuffdiff2FCover20","Clptm1"
"CLSTN2","NeuronByothersCuffdiff2FCover20","Clstn2"
"CLSTN3","NeuronByothersCuffdiff2FCover20","Clstn3"
"CLU","AstroByothersCuffdiff2FCover20","Clu"
"CLVS1","NeuronByothersCuffdiff2FCover20","Clvs1"
"CMKLR1","MicrogliByothersCuffdiff2FCover20","Cmklr1"
"CMPK1","NewOligoByothersCuffdiff2FCover20","Cmpk1"
"CMTM3","MicrogliByothersCuffdiff2FCover20","Cmtm3"
"CMTM7","MicrogliByothersCuffdiff2FCover20","Cmtm7"
"CNDP2","MicrogliByothersCuffdiff2FCover20","Cndp2"
"CNGB1","EndotheByothersCuffdiff2FCover20","Cngb1"
"CNIH1","PreOligoByothersCuffdiff2FCover20","Cnih1"
"CNN3","AstroByothersCuffdiff2FCover20","Cnn3"
"CNOT6L","EndotheByothersCuffdiff2FCover20","Cnot6l"
"CNPY3","EndotheByothersCuffdiff2FCover20","Cnpy3"
"CNR1","NeuronByothersCuffdiff2FCover20","Cnr1"
"CNR2","MicrogliByothersCuffdiff2FCover20","Cnr2"
"CNTN1","PreOligoByothersCuffdiff2FCover20","Cntn1"
"CNTN2","MyeOligoByothersCuffdiff2FCover20","Cntn2"
"CNTN4","PreOligoByothersCuffdiff2FCover20","Cntn4"
"CNTN5","NeuronByothersCuffdiff2FCover20","Cntn5"
"CNTNAP2","NeuronByothersCuffdiff2FCover20","Cntnap2"
"CNTNAP3B","NeuronByothersCuffdiff2FCover20","Cntnap3"
"CNTNAP3","NeuronByothersCuffdiff2FCover20","Cntnap3"
"CNTNAP3C","NeuronByothersCuffdiff2FCover20","Cntnap3"
"CNTNAP4","NeuronByothersCuffdiff2FCover20","Cntnap4"
"COBLL1","EndotheByothersCuffdiff2FCover20","Cobll1"
"COG3","NeuronByothersCuffdiff2FCover20","Cog3"
"COG4","MyeOligoByothersCuffdiff2FCover20","Cog4"
"COL11A1","NeuronByothersCuffdiff2FCover20","Col11a1"
"COL11A2","AstroByothersCuffdiff2FCover20","Col11a2"
"COL13A1","PreOligoByothersCuffdiff2FCover20","Col13a1"
"COL15A1","MicrogliByothersCuffdiff2FCover20","Col15a1"
"COL16A1","AstroByothersCuffdiff2FCover20","Col16a1"
"COL19A1","NeuronByothersCuffdiff2FCover20","Col19a1"
"COL25A1","NeuronByothersCuffdiff2FCover20","Col25a1"
"COL27A1","MicrogliByothersCuffdiff2FCover20","Col27a1"
"COL28A1","EndotheByothersCuffdiff2FCover20","Col28a1"
"COL3A1","PreOligoByothersCuffdiff2FCover20","Col3a1"
"COL4A1","NeuronByothersCuffdiff2FCover20","Col4a1"
"COL4A2","EndotheByothersCuffdiff2FCover20","Col4a2"
"COL4A3","EndotheByothersCuffdiff2FCover20","Col4a3"
"COL4A3BP","EndotheByothersCuffdiff2FCover20","Col4a3bp"
"COL4A5","AstroByothersCuffdiff2FCover20","Col4a5"
"COL6A2","NeuronByothersCuffdiff2FCover20","Col6a2"
"COL6A3","MicrogliByothersCuffdiff2FCover20","Col6a3"
"COL9A1","NewOligoByothersCuffdiff2FCover20","Col9a1"
"COLGALT1","MicrogliByothersCuffdiff2FCover20","Colgalt1"
"COMMD4","MyeOligoByothersCuffdiff2FCover20","Commd4"
"COMP","MicrogliByothersCuffdiff2FCover20","Comp"
"COP1","EndotheByothersCuffdiff2FCover20","Cop1"
"COPA","PreOligoByothersCuffdiff2FCover20","Copa"
"COPG2","EndotheByothersCuffdiff2FCover20","Copg2"
"COPZ2","NeuronByothersCuffdiff2FCover20","Copz2"
"COQ9","AstroByothersCuffdiff2FCover20","Coq9"
"CORO1A","MicrogliByothersCuffdiff2FCover20","Coro1a"
"CORO2B","NeuronByothersCuffdiff2FCover20","Coro2b"
"COTL1","MicrogliByothersCuffdiff2FCover20","Cotl1"
"COX4I2","EndotheByothersCuffdiff2FCover20","Cox4i2"
"CPA1","EndotheByothersCuffdiff2FCover20","Cpa1"
"CPE","PreOligoByothersCuffdiff2FCover20","Cpe"
"CPEB1","PreOligoByothersCuffdiff2FCover20","Cpeb1"
"CPEB3","NeuronByothersCuffdiff2FCover20","Cpeb3"
"CPN1","MicrogliByothersCuffdiff2FCover20","Cpn1"
"CPNE1","EndotheByothersCuffdiff2FCover20","Cpne1"
"CPNE4","NeuronByothersCuffdiff2FCover20","Cpne4"
"CPNE5","NeuronByothersCuffdiff2FCover20","Cpne5"
"CR1","EndotheByothersCuffdiff2FCover20","Cr1l"
"CRABP1","NeuronByothersCuffdiff2FCover20","Crabp1"
"CRAT","MicrogliByothersCuffdiff2FCover20","Crat"
"CRB2","AstroByothersCuffdiff2FCover20","Crb2"
"CREB5","AstroByothersCuffdiff2FCover20","Creb5"
"CREM","NeuronByothersCuffdiff2FCover20","Crem"
"CRH","NeuronByothersCuffdiff2FCover20","Crh"
"CRHBP","NeuronByothersCuffdiff2FCover20","Crhbp"
"CRIP1","MicrogliByothersCuffdiff2FCover20","Crip1"
"CRISPLD1","EndotheByothersCuffdiff2FCover20","Crispld1"
"CRMP1","NeuronByothersCuffdiff2FCover20","Crmp1"
"CRYAB","MyeOligoByothersCuffdiff2FCover20","Cryab"
"CRYBA4","MicrogliByothersCuffdiff2FCover20","Cryba4"
"CRYBB1","MicrogliByothersCuffdiff2FCover20","Crybb1"
"CRYZ","MicrogliByothersCuffdiff2FCover20","Cryz"
"CSF1","MicrogliByothersCuffdiff2FCover20","Csf1"
"CSF1R","MicrogliByothersCuffdiff2FCover20","Csf1r"
"CSF2","MicrogliByothersCuffdiff2FCover20","Csf2"
"CSF2RB","MicrogliByothersCuffdiff2FCover20","Csf2rb"
"CSF3","EndotheByothersCuffdiff2FCover20","Csf3"
"CSF3R","MicrogliByothersCuffdiff2FCover20","Csf3r"
"CSK","MicrogliByothersCuffdiff2FCover20","Csk"
"CSNK1D","MicrogliByothersCuffdiff2FCover20","Csnk1d"
"TPTEP2-CSNK1E","MicrogliByothersCuffdiff2FCover20","Csnk1e"
"CSNK1E","MicrogliByothersCuffdiff2FCover20","Csnk1e"
"CSNK1G1","NeuronByothersCuffdiff2FCover20","Csnk1g1"
"CSPG5","AstroByothersCuffdiff2FCover20","Cspg5"
"CSPP1","NeuronByothersCuffdiff2FCover20","Cspp1"
"CSRP2","PreOligoByothersCuffdiff2FCover20","Csrp2"
"CST7","MicrogliByothersCuffdiff2FCover20","Cst7"
"CTBP1","MicrogliByothersCuffdiff2FCover20","Ctbp1"
"CTC1","MicrogliByothersCuffdiff2FCover20","Ctc1"
"CTH","AstroByothersCuffdiff2FCover20","Cth"
"CTNNA2","MyeOligoByothersCuffdiff2FCover20","Ctnna2"
"CTNNA3","MyeOligoByothersCuffdiff2FCover20","Ctnna3"
"CTNNAL1","NewOligoByothersCuffdiff2FCover20","Ctnnal1"
"CTNNB1","NeuronByothersCuffdiff2FCover20","Ctnnb1"
"CTNNBIP1","EndotheByothersCuffdiff2FCover20","Ctnnbip1"
"CTNND1","AstroByothersCuffdiff2FCover20","Ctnnd1"
"CTNND2","AstroByothersCuffdiff2FCover20","Ctnnd2"
"CTSA","MicrogliByothersCuffdiff2FCover20","Ctsa"
"CTSB","MicrogliByothersCuffdiff2FCover20","Ctsb"
"CTSD","MicrogliByothersCuffdiff2FCover20","Ctsd"
"CTSE","MicrogliByothersCuffdiff2FCover20","Ctse"
"CTSS","MicrogliByothersCuffdiff2FCover20","Ctss"
"CTSW","EndotheByothersCuffdiff2FCover20","Ctsw"
"CTSZ","MicrogliByothersCuffdiff2FCover20","Ctsz"
"CTTNBP2NL","EndotheByothersCuffdiff2FCover20","Cttnbp2nl"
"CUX1","NeuronByothersCuffdiff2FCover20","Cux1"
"CWC22","NeuronByothersCuffdiff2FCover20","Cwc22"
"CX3CL1","NeuronByothersCuffdiff2FCover20","Cx3cl1"
"CX3CR1","MicrogliByothersCuffdiff2FCover20","Cx3cr1"
"CXCL12","NeuronByothersCuffdiff2FCover20","Cxcl12"
"CXCL16","MicrogliByothersCuffdiff2FCover20","Cxcl16"
"CXCR3","MicrogliByothersCuffdiff2FCover20","Cxcr3"
"CXCR5","MicrogliByothersCuffdiff2FCover20","Cxcr5"
"CYB561","NeuronByothersCuffdiff2FCover20","Cyb561"
"CYB5B","NewOligoByothersCuffdiff2FCover20","Cyb5b"
"CYBB","MicrogliByothersCuffdiff2FCover20","Cybb"
"CYBRD1","AstroByothersCuffdiff2FCover20","Cybrd1"
"CYFIP1","MicrogliByothersCuffdiff2FCover20","Cyfip1"
"CYP4F2","AstroByothersCuffdiff2FCover20","Cyp4f15"
"CYP4F3","MicrogliByothersCuffdiff2FCover20","Cyp4f18"
"CYP4X1","NeuronByothersCuffdiff2FCover20","Cyp4x1"
"CYP51A1","AstroByothersCuffdiff2FCover20","Cyp51"
"CYSLTR1","MicrogliByothersCuffdiff2FCover20","Cysltr1"
"CYTH4","MicrogliByothersCuffdiff2FCover20","Cyth4"
"CYTIP","MicrogliByothersCuffdiff2FCover20","Cytip"
"CYYR1","EndotheByothersCuffdiff2FCover20","Cyyr1"
"KIAA0319","NeuronByothersCuffdiff2FCover20","D130043K22Rik"
"C4orf33","PreOligoByothersCuffdiff2FCover20","D3Ertd751e"
"KIAA1549L","NeuronByothersCuffdiff2FCover20","D430041D05Rik"
"C10orf90","MyeOligoByothersCuffdiff2FCover20","D7Ertd443e"
"DAAM2","AstroByothersCuffdiff2FCover20","Daam2"
"DAB2IP","MyeOligoByothersCuffdiff2FCover20","Dab2ip"
"DACH2","NeuronByothersCuffdiff2FCover20","Dach2"
"DAGLB","MicrogliByothersCuffdiff2FCover20","Daglb"
"DAPP1","MicrogliByothersCuffdiff2FCover20","Dapp1"
"DBH","EndotheByothersCuffdiff2FCover20","Dbh"
"DBN1","NeuronByothersCuffdiff2FCover20","Dbn1"
"DBNDD2","MyeOligoByothersCuffdiff2FCover20","Dbndd2"
"DCAF11","MyeOligoByothersCuffdiff2FCover20","Dcaf11"
"DCAF7","MyeOligoByothersCuffdiff2FCover20","Dcaf7"
"DCAKD","MicrogliByothersCuffdiff2FCover20","Dcakd"
"DCLK1","AstroByothersCuffdiff2FCover20","Dclk1"
"DCLRE1B","MicrogliByothersCuffdiff2FCover20","Dclre1b"
"DCN","PreOligoByothersCuffdiff2FCover20","Dcn"
"DCT","NewOligoByothersCuffdiff2FCover20","Dct"
"DCTN1","NeuronByothersCuffdiff2FCover20","Dctn1"
"DCX","NeuronByothersCuffdiff2FCover20","Dcx"
"DDO","AstroByothersCuffdiff2FCover20","Ddo"
"DDX11","AstroByothersCuffdiff2FCover20","Ddx11"
"DDX3Y","AstroByothersCuffdiff2FCover20","Ddx3y"
"DDX55","MyeOligoByothersCuffdiff2FCover20","Ddx55"
"DEGS2","EndotheByothersCuffdiff2FCover20","Degs2"
"DENND1C","MicrogliByothersCuffdiff2FCover20","Dennd1c"
"DENND3","EndotheByothersCuffdiff2FCover20","Dennd3"
"DENND4A","MicrogliByothersCuffdiff2FCover20","Dennd4a"
"DENND4B","MicrogliByothersCuffdiff2FCover20","Dennd4b"
"DEPDC5","AstroByothersCuffdiff2FCover20","Depdc5"
"DES","EndotheByothersCuffdiff2FCover20","Des"
"DEUP1","AstroByothersCuffdiff2FCover20","Deup1"
"DGCR2","MyeOligoByothersCuffdiff2FCover20","Dgcr2"
"DGCR6","AstroByothersCuffdiff2FCover20","Dgcr6"
"DGCR6L","AstroByothersCuffdiff2FCover20","Dgcr6"
"DGKB","AstroByothersCuffdiff2FCover20","Dgkb"
"DGKD","MicrogliByothersCuffdiff2FCover20","Dgkd"
"DGKI","MyeOligoByothersCuffdiff2FCover20","Dgki"
"DGKZ","MicrogliByothersCuffdiff2FCover20","Dgkz"
"DGLUCY","MicrogliByothersCuffdiff2FCover20","Dglucy"
"DHRS1","AstroByothersCuffdiff2FCover20","Dhrs1"
